FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
9001,CT,"Fairfield County, Connecticut",10.9%,101970
9003,CT,"Hartford County, Connecticut",13.4%,120200
9005,CT,"Litchfield County, Connecticut",10.6%,19870
9007,CT,"Middlesex County, Connecticut",10.9%,17980
9009,CT,"New Haven County, Connecticut",13.9%,119880
9011,CT,"New London County, Connecticut",12.7%,34810
9013,CT,"Tolland County, Connecticut",10.8%,16410
9015,CT,"Windham County, Connecticut",12.6%,14910
10001,DE,"Kent County, Delaware",13.4%,22480
10003,DE,"New Castle County, Delaware",11.9%,65020
10005,DE,"Sussex County, Delaware",10.4%,21260
11001,DC,"District of Columbia, District of Columbia",13.5%,85310
12001,FL,"Alachua County, Florida",20.4%,51240
12003,FL,"Baker County, Florida",17.3%,4680
12005,FL,"Bay County, Florida",17.5%,30350
12007,FL,"Bradford County, Florida",17.9%,4940
12009,FL,"Brevard County, Florida",15.9%,87020
12011,FL,"Broward County, Florida",15.5%,281940
12013,FL,"Calhoun County, Florida",18%,2640
12015,FL,"Charlotte County, Florida",14.8%,24100
12017,FL,"Citrus County, Florida",16.3%,22750
12019,FL,"Clay County, Florida",14%,27200
12021,FL,"Collier County, Florida",11.9%,39730
12023,FL,"Columbia County, Florida",18.5%,12530
12027,FL,"DeSoto County, Florida",16.1%,5610
12029,FL,"Dixie County, Florida",17.8%,2870
12031,FL,"Duval County, Florida",20.1%,177040
12033,FL,"Escambia County, Florida",19.3%,58790
12035,FL,"Flagler County, Florida",15.9%,15680
12037,FL,"Franklin County, Florida",18.1%,2110
12039,FL,"Gadsden County, Florida",24.4%,11440
12041,FL,"Gilchrist County, Florida",16.8%,2850
12043,FL,"Glades County, Florida",16.4%,2160
12045,FL,"Gulf County, Florida",17.6%,2780
12047,FL,"Hamilton County, Florida",21.9%,3160
12049,FL,"Hardee County, Florida",14%,3850
12051,FL,"Hendry County, Florida",14.6%,5580
12053,FL,"Hernando County, Florida",15.3%,26680
12055,FL,"Highlands County, Florida",15.8%,15520
12057,FL,"Hillsborough County, Florida",15.4%,196730
12059,FL,"Holmes County, Florida",18%,3550
12061,FL,"Indian River County, Florida",15.9%,22370
12063,FL,"Jackson County, Florida",19.6%,9620
12065,FL,"Jefferson County, Florida",19.9%,2860
12067,FL,"Lafayette County, Florida",16.4%,1440
12069,FL,"Lake County, Florida",14.8%,45120
12071,FL,"Lee County, Florida",14.2%,92270
12073,FL,"Leon County, Florida",21.8%,61230
12075,FL,"Levy County, Florida",17.5%,7030
12077,FL,"Liberty County, Florida",17.6%,1460
12079,FL,"Madison County, Florida",21.6%,4070
12081,FL,"Manatee County, Florida",14.4%,48210
12083,FL,"Marion County, Florida",16.6%,55540
12085,FL,"Martin County, Florida",13.3%,19980
12086,FL,"Miami-Dade County, Florida",11.3%,293070
12087,FL,"Monroe County, Florida",12.8%,9640
12089,FL,"Nassau County, Florida",14.5%,10860
12091,FL,"Okaloosa County, Florida",15.6%,29400
12093,FL,"Okeechobee County, Florida",16.2%,6380
12095,FL,"Orange County, Florida",16%,192400
12097,FL,"Osceola County, Florida",11.8%,34250
12099,FL,"Palm Beach County, Florida",14.7%,199460
12101,FL,"Pasco County, Florida",14.4%,67910
12103,FL,"Pinellas County, Florida",16.2%,149790
12105,FL,"Polk County, Florida",16.3%,100470
12107,FL,"Putnam County, Florida",19.8%,14480
12109,FL,"St. Johns County, Florida",12.9%,26160
12111,FL,"St. Lucie County, Florida",17.2%,48710
12113,FL,"Santa Rosa County, Florida",14.4%,22710
12115,FL,"Sarasota County, Florida",14.1%,54380
12117,FL,"Seminole County, Florida",13.4%,57950
12119,FL,"Sumter County, Florida",14%,14500
12121,FL,"Suwannee County, Florida",18.1%,7850
12123,FL,"Taylor County, Florida",17.9%,4070
12125,FL,"Union County, Florida",18.8%,2870
12127,FL,"Volusia County, Florida",16.3%,81260
12129,FL,"Wakulla County, Florida",15.6%,4850
12131,FL,"Walton County, Florida",15.6%,9020
12133,FL,"Washington County, Florida",17.9%,4420
13001,GA,"Appling County, Georgia",17.1%,3150
13003,GA,"Atkinson County, Georgia",15%,1240
13005,GA,"Bacon County, Georgia",15.2%,1700
13007,GA,"Baker County, Georgia",20.6%,690
13009,GA,"Baldwin County, Georgia",23.9%,10960
13011,GA,"Banks County, Georgia",12%,2200
13013,GA,"Barrow County, Georgia",11.8%,8370
13015,GA,"Bartow County, Georgia",14%,14070
13017,GA,"Ben Hill County, Georgia",23%,4040
13019,GA,"Berrien County, Georgia",16.9%,3220
13021,GA,"Bibb County, Georgia",23.8%,36930
13023,GA,"Bleckley County, Georgia",21.1%,2720
13025,GA,"Brantley County, Georgia",15%,2770
13027,GA,"Brooks County, Georgia",19.6%,3090
13029,GA,"Bryan County, Georgia",13.1%,4210
13031,GA,"Bulloch County, Georgia",21.9%,15780
13033,GA,"Burke County, Georgia",23.9%,5530
13035,GA,"Butts County, Georgia",16.5%,3860
13037,GA,"Calhoun County, Georgia",25.4%,1660
13039,GA,"Camden County, Georgia",15.1%,7720
13043,GA,"Candler County, Georgia",18%,1990
13045,GA,"Carroll County, Georgia",16.7%,18660
13047,GA,"Catoosa County, Georgia",11.9%,7700
13049,GA,"Charlton County, Georgia",14.9%,1950
13051,GA,"Chatham County, Georgia",19.6%,53910
13053,GA,"Chattahoochee County, Georgia",18.5%,2190
13055,GA,"Chattooga County, Georgia",16.5%,4220
13057,GA,"Cherokee County, Georgia",9.4%,20810
13059,GA,"Clarke County, Georgia",21.7%,25980
13061,GA,"Clay County, Georgia",29.8%,930
13063,GA,"Clayton County, Georgia",24.2%,63990
13065,GA,"Clinch County, Georgia",21.1%,1430
13067,GA,"Cobb County, Georgia",13.6%,96360
13069,GA,"Coffee County, Georgia",18.3%,7850
13071,GA,"Colquitt County, Georgia",17.2%,7930
13073,GA,"Columbia County, Georgia",11.2%,14810
13075,GA,"Cook County, Georgia",18.6%,3170
13077,GA,"Coweta County, Georgia",12.7%,16660
13079,GA,"Crawford County, Georgia",15.6%,1950
13081,GA,"Crisp County, Georgia",23.3%,5460
13083,GA,"Dade County, Georgia",11.6%,1910
13085,GA,"Dawson County, Georgia",11.5%,2590
13087,GA,"Decatur County, Georgia",21.8%,5990
13089,GA,"DeKalb County, Georgia",20.7%,146360
13091,GA,"Dodge County, Georgia",19.7%,4220
13093,GA,"Dooly County, Georgia",22.9%,3310
13095,GA,"Dougherty County, Georgia",28.3%,26600
13097,GA,"Douglas County, Georgia",17.3%,23390
13099,GA,"Early County, Georgia",22.9%,2440
13101,GA,"Echols County, Georgia",12.2%,490
13103,GA,"Effingham County, Georgia",11.9%,6360
13105,GA,"Elbert County, Georgia",18.5%,3650
13107,GA,"Emanuel County, Georgia",22.1%,5020
13109,GA,"Evans County, Georgia",17.9%,1940
13111,GA,"Fannin County, Georgia",14.3%,3370
13113,GA,"Fayette County, Georgia",10.8%,11630
13115,GA,"Floyd County, Georgia",16.2%,15540
13117,GA,"Forsyth County, Georgia",6.8%,12950
13119,GA,"Franklin County, Georgia",15.8%,3490
13121,GA,"Fulton County, Georgia",19.6%,189120
13123,GA,"Gilmer County, Georgia",12.8%,3630
13125,GA,"Glascock County, Georgia",14.5%,450
13127,GA,"Glynn County, Georgia",17.6%,14200
13129,GA,"Gordon County, Georgia",13.2%,7330
13131,GA,"Grady County, Georgia",19.8%,5000
13133,GA,"Greene County, Georgia",19.1%,3090
13135,GA,"Gwinnett County, Georgia",12.3%,103790
13137,GA,"Habersham County, Georgia",11.8%,5100
13139,GA,"Hall County, Georgia",10.2%,18980
13141,GA,"Hancock County, Georgia",27.1%,2450
13143,GA,"Haralson County, Georgia",15.3%,4360
13145,GA,"Harris County, Georgia",10.9%,3530
13147,GA,"Hart County, Georgia",16.9%,4300
13149,GA,"Heard County, Georgia",15.7%,1830
13151,GA,"Henry County, Georgia",16%,33440
13153,GA,"Houston County, Georgia",16.3%,23680
13155,GA,"Irwin County, Georgia",19.6%,1860
13157,GA,"Jackson County, Georgia",11.5%,7020
13159,GA,"Jasper County, Georgia",16%,2180
13161,GA,"Jeff Davis County, Georgia",15.6%,2340
13163,GA,"Jefferson County, Georgia",26%,4310
13165,GA,"Jenkins County, Georgia",21.7%,1910
13167,GA,"Johnson County, Georgia",19.3%,1900
13169,GA,"Jones County, Georgia",14.6%,4200
13171,GA,"Lamar County, Georgia",18.9%,3430
13173,GA,"Lanier County, Georgia",19.6%,2030
13175,GA,"Laurens County, Georgia",21.5%,10330
13177,GA,"Lee County, Georgia",13.7%,3950
13179,GA,"Liberty County, Georgia",20.1%,12950
13181,GA,"Lincoln County, Georgia",19.1%,1490
13183,GA,"Long County, Georgia",15.9%,2530
13185,GA,"Lowndes County, Georgia",21%,23640
13187,GA,"Lumpkin County, Georgia",14.1%,4340
13189,GA,"McDuffie County, Georgia",21.6%,4660
13191,GA,"McIntosh County, Georgia",17.2%,2440
13193,GA,"Macon County, Georgia",26.9%,3830
13195,GA,"Madison County, Georgia",13.7%,3840
13197,GA,"Marion County, Georgia",17.4%,1520
13199,GA,"Meriwether County, Georgia",21.2%,4540
13201,GA,"Miller County, Georgia",18.3%,1100
13205,GA,"Mitchell County, Georgia",22.7%,5260
13207,GA,"Monroe County, Georgia",14.8%,3960
13209,GA,"Montgomery County, Georgia",19%,1710
13211,GA,"Morgan County, Georgia",14.4%,2580
13213,GA,"Murray County, Georgia",14.3%,5640
13215,GA,"Muscogee County, Georgia",21.7%,42990
13217,GA,"Newton County, Georgia",18.2%,18490
13219,GA,"Oconee County, Georgia",9.1%,3070
13221,GA,"Oglethorpe County, Georgia",13.3%,1960
13223,GA,"Paulding County, Georgia",12.2%,17720
13225,GA,"Peach County, Georgia",21.2%,5800
13227,GA,"Pickens County, Georgia",11.3%,3340
13229,GA,"Pierce County, Georgia",14.4%,2720
13231,GA,"Pike County, Georgia",12.4%,2210
13233,GA,"Polk County, Georgia",14.6%,6030
13235,GA,"Pulaski County, Georgia",17.9%,2090
13237,GA,"Putnam County, Georgia",16.1%,3420
13239,GA,"Quitman County, Georgia",22.5%,540
13241,GA,"Rabun County, Georgia",14.5%,2350
13243,GA,"Randolph County, Georgia",26.3%,1950
13245,GA,"Richmond County, Georgia",24.1%,48460
13247,GA,"Rockdale County, Georgia",18.1%,15610
13249,GA,"Schley County, Georgia",17.9%,900
13251,GA,"Screven County, Georgia",21.8%,3120
13253,GA,"Seminole County, Georgia",18.8%,1650
13255,GA,"Spalding County, Georgia",20.3%,12990
13257,GA,"Stephens County, Georgia",15%,3870
13259,GA,"Stewart County, Georgia",22.6%,1340
13261,GA,"Sumter County, Georgia",24.5%,7780
13263,GA,"Talbot County, Georgia",20.7%,1360
13265,GA,"Taliaferro County, Georgia",24.9%,420
13267,GA,"Tattnall County, Georgia",18.3%,4630
13269,GA,"Taylor County, Georgia",22.2%,1890
13271,GA,"Telfair County, Georgia",21.3%,3520
13273,GA,"Terrell County, Georgia",25.5%,2370
13275,GA,"Thomas County, Georgia",21.6%,9670
13277,GA,"Tift County, Georgia",19%,7740
13279,GA,"Toombs County, Georgia",19.5%,5300
13281,GA,"Towns County, Georgia",13.3%,1420
13283,GA,"Treutlen County, Georgia",20.7%,1410
13285,GA,"Troup County, Georgia",19.5%,13350
13287,GA,"Turner County, Georgia",21.1%,1790
13289,GA,"Twiggs County, Georgia",22.9%,1970
13291,GA,"Union County, Georgia",12.1%,2610
13293,GA,"Upson County, Georgia",19.8%,5280
13295,GA,"Walker County, Georgia",14.1%,9630
13297,GA,"Walton County, Georgia",13.6%,11650
13299,GA,"Ware County, Georgia",20%,7170
13301,GA,"Warren County, Georgia",25.5%,1440
13303,GA,"Washington County, Georgia",22.4%,4680
