FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
21173,KY,"Montgomery County, Kentucky",17.5%,4710
21175,KY,"Morgan County, Kentucky",18.9%,2550
21177,KY,"Muhlenberg County, Kentucky",15.7%,4940
21179,KY,"Nelson County, Kentucky",14.5%,6400
21181,KY,"Nicholas County, Kentucky",15.1%,1070
21183,KY,"Ohio County, Kentucky",15.1%,3630
21185,KY,"Oldham County, Kentucky",9%,5580
21187,KY,"Owen County, Kentucky",12.9%,1390
21189,KY,"Owsley County, Kentucky",20.8%,970
21191,KY,"Pendleton County, Kentucky",13.8%,2020
21193,KY,"Perry County, Kentucky",18.9%,5340
21195,KY,"Pike County, Kentucky",18.3%,11800
21197,KY,"Powell County, Kentucky",18.1%,2280
21199,KY,"Pulaski County, Kentucky",16.9%,10760
21201,KY,"Robertson County, Kentucky",16.9%,380
21203,KY,"Rockcastle County, Kentucky",16.2%,2740
21205,KY,"Rowan County, Kentucky",17.3%,4070
21207,KY,"Russell County, Kentucky",17.9%,3160
21209,KY,"Scott County, Kentucky",12.2%,5990
21211,KY,"Shelby County, Kentucky",12.4%,5410
21213,KY,"Simpson County, Kentucky",16.5%,2900
21215,KY,"Spencer County, Kentucky",10.3%,1790
21217,KY,"Taylor County, Kentucky",17.1%,4280
21219,KY,"Todd County, Kentucky",15%,1880
21221,KY,"Trigg County, Kentucky",14.5%,2060
21223,KY,"Trimble County, Kentucky",13.9%,1230
21225,KY,"Union County, Kentucky",18.1%,2760
21227,KY,"Warren County, Kentucky",16.3%,19140
21229,KY,"Washington County, Kentucky",13.4%,1600
21231,KY,"Wayne County, Kentucky",18.2%,3780
21233,KY,"Webster County, Kentucky",13.7%,1840
21235,KY,"Whitley County, Kentucky",17.7%,6300
21237,KY,"Wolfe County, Kentucky",22.8%,1660
21239,KY,"Woodford County, Kentucky",12.4%,3110
22001,LA,"Acadia Parish, Louisiana",14.8%,9160
22003,LA,"Allen Parish, Louisiana",14.4%,3690
22005,LA,"Ascension Parish, Louisiana",11.2%,12580
22007,LA,"Assumption Parish, Louisiana",15%,3480
22009,LA,"Avoyelles Parish, Louisiana",17.5%,7280
22011,LA,"Beauregard Parish, Louisiana",13.3%,4800
22013,LA,"Bienville Parish, Louisiana",20.1%,2840
22015,LA,"Bossier Parish, Louisiana",13.4%,16280
22017,LA,"Caddo Parish, Louisiana",20%,51180
22019,LA,"Calcasieu Parish, Louisiana",14.9%,29080
22021,LA,"Caldwell Parish, Louisiana",15.2%,1520
22023,LA,"Cameron Parish, Louisiana",7.3%,490
22025,LA,"Catahoula Parish, Louisiana",17.4%,1780
22027,LA,"Claiborne Parish, Louisiana",21.3%,3590
22029,LA,"Concordia Parish, Louisiana",22.4%,4620
22031,LA,"De Soto Parish, Louisiana",18.6%,5010
22033,LA,"East Baton Rouge Parish, Louisiana",18.4%,81640
22035,LA,"East Carroll Parish, Louisiana",32.4%,2470
22037,LA,"East Feliciana Parish, Louisiana",16.9%,3370
22039,LA,"Evangeline Parish, Louisiana",18%,6100
22041,LA,"Franklin Parish, Louisiana",20.8%,4290
22043,LA,"Grant Parish, Louisiana",13.7%,3070
22045,LA,"Iberia Parish, Louisiana",16.3%,12040
22047,LA,"Iberville Parish, Louisiana",18.6%,6200
22049,LA,"Jackson Parish, Louisiana",17.5%,2830
22051,LA,"Jefferson Parish, Louisiana",14.1%,61170
22053,LA,"Jefferson Davis Parish, Louisiana",14.4%,4540
22055,LA,"Lafayette Parish, Louisiana",14.4%,32870
22057,LA,"Lafourche Parish, Louisiana",11.3%,10960
22059,LA,"LaSalle Parish, Louisiana",11.8%,1750
22061,LA,"Lincoln Parish, Louisiana",22.2%,10490
22063,LA,"Livingston Parish, Louisiana",10%,13230
22065,LA,"Madison Parish, Louisiana",28.1%,3380
22067,LA,"Morehouse Parish, Louisiana",23.5%,6420
22069,LA,"Natchitoches Parish, Louisiana",21%,8260
22071,LA,"Orleans Parish, Louisiana",23.7%,87360
22073,LA,"Ouachita Parish, Louisiana",19.4%,30120
22075,LA,"Plaquemines Parish, Louisiana",12.8%,3010
22077,LA,"Pointe Coupee Parish, Louisiana",16.1%,3640
22079,LA,"Rapides Parish, Louisiana",17.3%,22890
22081,LA,"Red River Parish, Louisiana",18%,1610
22083,LA,"Richland Parish, Louisiana",19%,3950
22085,LA,"Sabine Parish, Louisiana",14.4%,3500
22087,LA,"St. Bernard Parish, Louisiana",13.8%,5680
22089,LA,"St. Charles Parish, Louisiana",12.3%,6450
22091,LA,"St. Helena Parish, Louisiana",21.6%,2360
22093,LA,"St. James Parish, Louisiana",18%,3910
22095,LA,"St. John the Baptist Parish, Louisiana",18.2%,8100
22097,LA,"St. Landry Parish, Louisiana",20%,16670
22099,LA,"St. Martin Parish, Louisiana",14.7%,7780
22101,LA,"St. Mary Parish, Louisiana",16.6%,8900
22103,LA,"St. Tammany Parish, Louisiana",10.3%,24620
22105,LA,"Tangipahoa Parish, Louisiana",17.3%,21430
22107,LA,"Tensas Parish, Louisiana",25.2%,1260
22109,LA,"Terrebonne Parish, Louisiana",13%,14580
22111,LA,"Union Parish, Louisiana",16.8%,3790
22113,LA,"Vermilion Parish, Louisiana",12.7%,7490
22115,LA,"Vernon Parish, Louisiana",15%,7940
22117,LA,"Washington Parish, Louisiana",18.3%,8550
22119,LA,"Webster Parish, Louisiana",18.6%,7590
22121,LA,"West Baton Rouge Parish, Louisiana",16.5%,4020
22123,LA,"West Carroll Parish, Louisiana",19.6%,2260
22125,LA,"West Feliciana Parish, Louisiana",16.8%,2600
22127,LA,"Winn Parish, Louisiana",18.4%,2760
23001,ME,"Androscoggin County, Maine",16.4%,17590
23003,ME,"Aroostook County, Maine",17.1%,12080
23005,ME,"Cumberland County, Maine",14.2%,40330
23007,ME,"Franklin County, Maine",15.3%,4670
23009,ME,"Hancock County, Maine",15.7%,8580
23011,ME,"Kennebec County, Maine",15%,18280
23013,ME,"Knox County, Maine",13.6%,5410
23015,ME,"Lincoln County, Maine",13.7%,4690
23017,ME,"Oxford County, Maine",15.6%,9000
23019,ME,"Penobscot County, Maine",16.5%,25280
23021,ME,"Piscataquis County, Maine",16.9%,2910
23023,ME,"Sagadahoc County, Maine",13.4%,4690
23025,ME,"Somerset County, Maine",16.4%,8480
23027,ME,"Waldo County, Maine",15.3%,5940
23029,ME,"Washington County, Maine",17.2%,5570
23031,ME,"York County, Maine",13.9%,27590
24001,MD,"Allegany County, Maryland",13.4%,9890
24003,MD,"Anne Arundel County, Maryland",8.3%,45710
24005,MD,"Baltimore County, Maryland",12.6%,103280
24009,MD,"Calvert County, Maryland",7.6%,6800
24011,MD,"Caroline County, Maryland",11.9%,3890
24013,MD,"Carroll County, Maryland",6.3%,10550
24015,MD,"Cecil County, Maryland",10%,10220
24017,MD,"Charles County, Maryland",11.9%,17940
24019,MD,"Dorchester County, Maryland",16.1%,5260
24021,MD,"Frederick County, Maryland",7.4%,17700
24023,MD,"Garrett County, Maryland",10.7%,3210
24025,MD,"Harford County, Maryland",8.7%,21680
24027,MD,"Howard County, Maryland",7.5%,22420
24029,MD,"Kent County, Maryland",11.5%,2300
24031,MD,"Montgomery County, Maryland",7%,70510
24033,MD,"Prince George's County, Maryland",15.5%,137350
24035,MD,"Queen Anne's County, Maryland",6.8%,3310
24037,MD,"St. Mary's County, Maryland",9%,9720
24039,MD,"Somerset County, Maryland",20.1%,5260
24041,MD,"Talbot County, Maryland",10.6%,4000
24043,MD,"Washington County, Maryland",12.1%,18090
24045,MD,"Wicomico County, Maryland",15.3%,15360
24047,MD,"Worcester County, Maryland",13.4%,6910
24510,MD,"Baltimore city, Maryland",23.8%,148280
25001,MA,"Barnstable County, Massachusetts",9.9%,21340
25003,MA,"Berkshire County, Massachusetts",11.6%,15080
25005,MA,"Bristol County, Massachusetts",12.1%,66650
25007,MA,"Dukes County, Massachusetts",10.8%,1830
25009,MA,"Essex County, Massachusetts",9%,67950
25011,MA,"Franklin County, Massachusetts",10.4%,7430
25013,MA,"Hampden County, Massachusetts",11.7%,54780
25015,MA,"Hampshire County, Massachusetts",10.6%,16990
25017,MA,"Middlesex County, Massachusetts",9%,138930
25019,MA,"Nantucket County, Massachusetts",10.4%,1080
25021,MA,"Norfolk County, Massachusetts",8.7%,59730
25023,MA,"Plymouth County, Massachusetts",9.5%,47430
25025,MA,"Suffolk County, Massachusetts",15.9%,118930
25027,MA,"Worcester County, Massachusetts",10.3%,82950
26001,MI,"Alcona County, Michigan",14%,1490
26003,MI,"Alger County, Michigan",14.7%,1400
26005,MI,"Allegan County, Michigan",10.5%,11820
26007,MI,"Alpena County, Michigan",14.2%,4140
26009,MI,"Antrim County, Michigan",13.1%,3060
26011,MI,"Arenac County, Michigan",15.3%,2380
26013,MI,"Baraga County, Michigan",16.8%,1470
26015,MI,"Barry County, Michigan",10.6%,6260
26017,MI,"Bay County, Michigan",12.7%,13650
26019,MI,"Benzie County, Michigan",12.3%,2150
26021,MI,"Berrien County, Michigan",15.3%,23790
26023,MI,"Branch County, Michigan",13.2%,5790
26025,MI,"Calhoun County, Michigan",14.9%,20080
26027,MI,"Cass County, Michigan",12.5%,6510
26029,MI,"Charlevoix County, Michigan",12.8%,3330
26031,MI,"Cheboygan County, Michigan",15.1%,3910
26033,MI,"Chippewa County, Michigan",16.7%,6450
26035,MI,"Clare County, Michigan",16.6%,5110
26037,MI,"Clinton County, Michigan",10.4%,7930
26039,MI,"Crawford County, Michigan",13.8%,1930
26041,MI,"Delta County, Michigan",14.1%,5190
26043,MI,"Dickinson County, Michigan",12.1%,3150
26045,MI,"Eaton County, Michigan",12.1%,13090
26047,MI,"Emmet County, Michigan",13.5%,4450
26049,MI,"Genesee County, Michigan",17.8%,74400
26051,MI,"Gladwin County, Michigan",14.5%,3710
26053,MI,"Gogebic County, Michigan",15.8%,2540
26055,MI,"Grand Traverse County, Michigan",11.8%,10460
26057,MI,"Gratiot County, Michigan",14.2%,5960
26059,MI,"Hillsdale County, Michigan",13.9%,6410
26061,MI,"Houghton County, Michigan",15.7%,5790
26063,MI,"Huron County, Michigan",12.6%,4090
26065,MI,"Ingham County, Michigan",16.4%,46480
26067,MI,"Ionia County, Michigan",12.5%,7980
26069,MI,"Iosco County, Michigan",14.9%,3800
26071,MI,"Iron County, Michigan",13.4%,1550
26073,MI,"Isabella County, Michigan",17.4%,12290
26075,MI,"Jackson County, Michigan",14.5%,23200
26077,MI,"Kalamazoo County, Michigan",15.4%,39180
26079,MI,"Kalkaska County, Michigan",14.4%,2480
26081,MI,"Kent County, Michigan",12.6%,77500
26083,MI,"Keweenaw County, Michigan",14.7%,320
26085,MI,"Lake County, Michigan",19%,2170
26087,MI,"Lapeer County, Michigan",12.7%,11210
26089,MI,"Leelanau County, Michigan",10.6%,2300
26091,MI,"Lenawee County, Michigan",11.9%,11830
26093,MI,"Livingston County, Michigan",9.4%,17310
26095,MI,"Luce County, Michigan",16.3%,1060
26097,MI,"Mackinac County, Michigan",15.7%,1740
26099,MI,"Macomb County, Michigan",14.4%,121920
26101,MI,"Manistee County, Michigan",14.3%,3510
26103,MI,"Marquette County, Michigan",14.3%,9660
26105,MI,"Mason County, Michigan",13.3%,3830
26107,MI,"Mecosta County, Michigan",15.7%,6780
26109,MI,"Menominee County, Michigan",12.7%,3020
26111,MI,"Midland County, Michigan",12.1%,10150
26113,MI,"Missaukee County, Michigan",13.1%,1970
26115,MI,"Monroe County, Michigan",11.4%,17250
26117,MI,"Montcalm County, Michigan",13.8%,8720
26119,MI,"Montmorency County, Michigan",15.4%,1460
26121,MI,"Muskegon County, Michigan",15.8%,27010
26123,MI,"Newaygo County, Michigan",12.7%,6130
26125,MI,"Oakland County, Michigan",13.5%,164400
26127,MI,"Oceana County, Michigan",13.3%,3490
26129,MI,"Ogemaw County, Michigan",15.3%,3260
26131,MI,"Ontonagon County, Michigan",14.8%,950
26133,MI,"Osceola County, Michigan",15.1%,3530
26135,MI,"Oscoda County, Michigan",16%,1360
26137,MI,"Otsego County, Michigan",13%,3150
26139,MI,"Ottawa County, Michigan",9.6%,25900
26141,MI,"Presque Isle County, Michigan",15%,1970
26143,MI,"Roscommon County, Michigan",16.6%,4000
26145,MI,"Saginaw County, Michigan",15.6%,30790
26147,MI,"St. Clair County, Michigan",14.6%,23530
26149,MI,"St. Joseph County, Michigan",12.5%,7640
26151,MI,"Sanilac County, Michigan",13.3%,5630
26153,MI,"Schoolcraft County, Michigan",15.8%,1320
26155,MI,"Shiawassee County, Michigan",13.1%,9140
26157,MI,"Tuscola County, Michigan",13.3%,7260
26159,MI,"Van Buren County, Michigan",13.1%,9910
26161,MI,"Washtenaw County, Michigan",14.3%,50290
26163,MI,"Wayne County, Michigan",22%,394590
26165,MI,"Wexford County, Michigan",14.7%,4800
27001,MN,"Aitkin County, Minnesota",10.9%,1740
27003,MN,"Anoka County, Minnesota",8.3%,27760
27005,MN,"Becker County, Minnesota",10.2%,3370
27007,MN,"Beltrami County, Minnesota",12.9%,5850
27009,MN,"Benton County, Minnesota",11.7%,4540
27011,MN,"Big Stone County, Minnesota",10.1%,520
27013,MN,"Blue Earth County, Minnesota",12%,7790
27015,MN,"Brown County, Minnesota",9.1%,2330
27017,MN,"Carlton County, Minnesota",10.7%,3780
27019,MN,"Carver County, Minnesota",6.4%,6020
27021,MN,"Cass County, Minnesota",12.1%,3430
27023,MN,"Chippewa County, Minnesota",9.9%,1210
27025,MN,"Chisago County, Minnesota",7.8%,4190
27027,MN,"Clay County, Minnesota",10%,6050
27029,MN,"Clearwater County, Minnesota",13.9%,1210
27031,MN,"Cook County, Minnesota",10.4%,540
27033,MN,"Cottonwood County, Minnesota",10.4%,1210
27035,MN,"Crow Wing County, Minnesota",11.1%,6990
27037,MN,"Dakota County, Minnesota",8.2%,33440
27039,MN,"Dodge County, Minnesota",7.1%,1440
27041,MN,"Douglas County, Minnesota",9.4%,3410
27043,MN,"Faribault County, Minnesota",10.1%,1440
27045,MN,"Fillmore County, Minnesota",9.7%,2020
27047,MN,"Freeborn County, Minnesota",9%,2800
27049,MN,"Goodhue County, Minnesota",9.2%,4260
27051,MN,"Grant County, Minnesota",9.5%,570
27053,MN,"Hennepin County, Minnesota",11.6%,136920
27055,MN,"Houston County, Minnesota",9.6%,1820
27057,MN,"Hubbard County, Minnesota",10.8%,2220
27059,MN,"Isanti County, Minnesota",8.8%,3360
27061,MN,"Itasca County, Minnesota",11.2%,5060
27063,MN,"Jackson County, Minnesota",9.4%,970
27065,MN,"Kanabec County, Minnesota",12%,1930
27067,MN,"Kandiyohi County, Minnesota",9.3%,3920
27069,MN,"Kittson County, Minnesota",9.5%,430
27071,MN,"Koochiching County, Minnesota",13.4%,1760
27073,MN,"Lac qui Parle County, Minnesota",9.2%,650
27075,MN,"Lake County, Minnesota",10%,1080
27077,MN,"Lake of the Woods County, Minnesota",8.6%,340
27079,MN,"Le Sueur County, Minnesota",8.6%,2390
27081,MN,"Lincoln County, Minnesota",9.1%,530
27083,MN,"Lyon County, Minnesota",10.5%,2690
27085,MN,"McLeod County, Minnesota",8.8%,3200
27087,MN,"Mahnomen County, Minnesota",14%,770
27089,MN,"Marshall County, Minnesota",9.6%,910
27091,MN,"Martin County, Minnesota",9.6%,1960
27093,MN,"Meeker County, Minnesota",9.2%,2140
27095,MN,"Mille Lacs County, Minnesota",11.8%,3050
27097,MN,"Morrison County, Minnesota",10.8%,3560
27099,MN,"Mower County, Minnesota",9.7%,3820
27101,MN,"Murray County, Minnesota",9%,770
27103,MN,"Nicollet County, Minnesota",9%,2970
27105,MN,"Nobles County, Minnesota",7.7%,1660
27107,MN,"Norman County, Minnesota",9.9%,660
27109,MN,"Olmsted County, Minnesota",8.9%,13150
27111,MN,"Otter Tail County, Minnesota",9.5%,5450
27113,MN,"Pennington County, Minnesota",10.1%,1420
27115,MN,"Pine County, Minnesota",11.5%,3390
27117,MN,"Pipestone County, Minnesota",9.7%,910
27119,MN,"Polk County, Minnesota",10.3%,3260
27121,MN,"Pope County, Minnesota",9%,990
27123,MN,"Ramsey County, Minnesota",12.9%,67330
27125,MN,"Red Lake County, Minnesota",10.2%,420
27127,MN,"Redwood County, Minnesota",9.5%,1510
27129,MN,"Renville County, Minnesota",9.4%,1440
27131,MN,"Rice County, Minnesota",9.1%,5880
27133,MN,"Rock County, Minnesota",9.4%,900
27135,MN,"Roseau County, Minnesota",9.3%,1440
27137,MN,"St. Louis County, Minnesota",12.2%,24450
27139,MN,"Scott County, Minnesota",6.4%,8680
27141,MN,"Sherburne County, Minnesota",8.2%,7330
27143,MN,"Sibley County, Minnesota",8.5%,1280
27145,MN,"Stearns County, Minnesota",10.7%,16240
27147,MN,"Steele County, Minnesota",8.8%,3220
27149,MN,"Stevens County, Minnesota",10.9%,1070
27151,MN,"Swift County, Minnesota",10.1%,970
27153,MN,"Todd County, Minnesota",10%,2460
27155,MN,"Traverse County, Minnesota",9.3%,320
27157,MN,"Wabasha County, Minnesota",8%,1730
27159,MN,"Wadena County, Minnesota",12.6%,1730
27161,MN,"Waseca County, Minnesota",9.3%,1780
27163,MN,"Washington County, Minnesota",7.2%,17600
27165,MN,"Watonwan County, Minnesota",7.3%,820
27167,MN,"Wilkin County, Minnesota",8.8%,580
27169,MN,"Winona County, Minnesota",10.9%,5590
27171,MN,"Wright County, Minnesota",7.3%,9320
27173,MN,"Yellow Medicine County, Minnesota",9.5%,970
28001,MS,"Adams County, Mississippi",25.6%,8220
28003,MS,"Alcorn County, Mississippi",17.6%,6550
28005,MS,"Amite County, Mississippi",21.6%,2800
28007,MS,"Attala County, Mississippi",23.6%,4550
28009,MS,"Benton County, Mississippi",20.7%,1780
28011,MS,"Bolivar County, Mississippi",29.5%,10010
28013,MS,"Calhoun County, Mississippi",20.1%,2990
28015,MS,"Carroll County, Mississippi",20.3%,2120
28017,MS,"Chickasaw County, Mississippi",23.1%,4020
28019,MS,"Choctaw County, Mississippi",21.6%,1820
28021,MS,"Claiborne County, Mississippi",33%,3100
28023,MS,"Clarke County, Mississippi",20.9%,3460
28025,MS,"Clay County, Mississippi",28.1%,5740
28027,MS,"Coahoma County, Mississippi",33.1%,8450
28029,MS,"Copiah County, Mississippi",23.6%,6840
28031,MS,"Covington County, Mississippi",20.3%,3960
28033,MS,"DeSoto County, Mississippi",14.5%,24130
28035,MS,"Forrest County, Mississippi",23.3%,17770
28037,MS,"Franklin County, Mississippi",20%,1590
28039,MS,"George County, Mississippi",15.3%,3520
28041,MS,"Greene County, Mississippi",18.1%,2600
28043,MS,"Grenada County, Mississippi",21.5%,4670
28045,MS,"Hancock County, Mississippi",16.3%,7340
28047,MS,"Harrison County, Mississippi",19.2%,37230
28049,MS,"Hinds County, Mississippi",26.5%,65230
28051,MS,"Holmes County, Mississippi",35.7%,6770
28053,MS,"Humphreys County, Mississippi",35.8%,3260
28055,MS,"Issaquena County, Mississippi",33%,420
28057,MS,"Itawamba County, Mississippi",15.6%,3650
28059,MS,"Jackson County, Mississippi",17.5%,24480
28061,MS,"Jasper County, Mississippi",22.6%,3770
28063,MS,"Jefferson County, Mississippi",37.5%,2860
28065,MS,"Jefferson Davis County, Mississippi",26.2%,3180
28067,MS,"Jones County, Mississippi",18.7%,12780
28069,MS,"Kemper County, Mississippi",27.4%,2830
28071,MS,"Lafayette County, Mississippi",20.3%,10220
28073,MS,"Lamar County, Mississippi",16.5%,9550
28075,MS,"Lauderdale County, Mississippi",22.6%,18140
28077,MS,"Lawrence County, Mississippi",19.8%,2500
28079,MS,"Leake County, Mississippi",21.6%,5060
28081,MS,"Lee County, Mississippi",19.2%,16270
28083,MS,"Leflore County, Mississippi",33.9%,10780
28085,MS,"Lincoln County, Mississippi",20.1%,6990
28087,MS,"Lowndes County, Mississippi",24.1%,14380
28089,MS,"Madison County, Mississippi",17.3%,17010
28091,MS,"Marion County, Mississippi",22.2%,5860
28093,MS,"Marshall County, Mississippi",21.4%,7840
28095,MS,"Monroe County, Mississippi",21.1%,7690
28097,MS,"Montgomery County, Mississippi",24.2%,2570
28099,MS,"Neshoba County, Mississippi",18.4%,5450
28101,MS,"Newton County, Mississippi",19%,4110
28103,MS,"Noxubee County, Mississippi",31%,3480
28105,MS,"Oktibbeha County, Mississippi",24.9%,12130
28107,MS,"Panola County, Mississippi",24.3%,8400
28109,MS,"Pearl River County, Mississippi",16.8%,9270
28111,MS,"Perry County, Mississippi",18.8%,2280
28113,MS,"Pike County, Mississippi",24.8%,9960
28115,MS,"Pontotoc County, Mississippi",15.6%,4740
28117,MS,"Prentiss County, Mississippi",18.5%,4680
28119,MS,"Quitman County, Mississippi",31.8%,2520
28121,MS,"Rankin County, Mississippi",14.2%,20670
28123,MS,"Scott County, Mississippi",18.9%,5350
28125,MS,"Sharkey County, Mississippi",30.4%,1490
28127,MS,"Simpson County, Mississippi",19.8%,5440
28129,MS,"Smith County, Mississippi",17.7%,2890
28131,MS,"Stone County, Mississippi",17.2%,3080
28133,MS,"Sunflower County, Mississippi",32.3%,9140
28135,MS,"Tallahatchie County, Mississippi",22.2%,3360
28137,MS,"Tate County, Mississippi",19.6%,5590
28139,MS,"Tippah County, Mississippi",18.4%,4060
28141,MS,"Tishomingo County, Mississippi",15.4%,3000
28143,MS,"Tunica County, Mississippi",32.5%,3440
28145,MS,"Union County, Mississippi",17.4%,4800
28147,MS,"Walthall County, Mississippi",21.9%,3320
28149,MS,"Warren County, Mississippi",23.1%,11170
28151,MS,"Washington County, Mississippi",32.8%,16410
28153,MS,"Wayne County, Mississippi",22.5%,4640
28155,MS,"Webster County, Mississippi",19.6%,1980
28157,MS,"Wilkinson County, Mississippi",27.8%,2630
28159,MS,"Winston County, Mississippi",25.5%,4810
28161,MS,"Yalobusha County, Mississippi",22.1%,2750
28163,MS,"Yazoo County, Mississippi",28.3%,7940
29001,MO,"Adair County, Missouri",18.4%,4730
29003,MO,"Andrew County, Missouri",12.6%,2190
29005,MO,"Atchison County, Missouri",14.4%,800
29007,MO,"Audrain County, Missouri",15.6%,4000
29009,MO,"Barry County, Missouri",14.5%,5180
29011,MO,"Barton County, Missouri",16%,1970
29013,MO,"Bates County, Missouri",16.4%,2750
29015,MO,"Benton County, Missouri",15.5%,2950
29017,MO,"Bollinger County, Missouri",15.6%,1940
29019,MO,"Boone County, Missouri",17.2%,28860
29021,MO,"Buchanan County, Missouri",16.1%,14410
29023,MO,"Butler County, Missouri",17.6%,7580
29025,MO,"Caldwell County, Missouri",14.7%,1350
29027,MO,"Callaway County, Missouri",14.7%,6550
29029,MO,"Camden County, Missouri",15.4%,6750
29031,MO,"Cape Girardeau County, Missouri",16.5%,12710
29033,MO,"Carroll County, Missouri",15%,1370
29035,MO,"Carter County, Missouri",18%,1130
29037,MO,"Cass County, Missouri",12.8%,12820
29039,MO,"Cedar County, Missouri",16.9%,2350
29041,MO,"Chariton County, Missouri",15%,1160
29043,MO,"Christian County, Missouri",12.9%,10320
29045,MO,"Clark County, Missouri",15.3%,1070
29047,MO,"Clay County, Missouri",13.1%,29880
29049,MO,"Clinton County, Missouri",13.6%,2800
29051,MO,"Cole County, Missouri",15.5%,11830
29053,MO,"Cooper County, Missouri",16.1%,2830
29055,MO,"Crawford County, Missouri",17.1%,4220
29057,MO,"Dade County, Missouri",15.5%,1190
29059,MO,"Dallas County, Missouri",16.3%,2720
29061,MO,"Daviess County, Missouri",14.5%,1210
29063,MO,"DeKalb County, Missouri",15.8%,2030
29065,MO,"Dent County, Missouri",16.4%,2570
29067,MO,"Douglas County, Missouri",16.7%,2270
29069,MO,"Dunklin County, Missouri",20.3%,6470
29071,MO,"Franklin County, Missouri",14.2%,14450
29073,MO,"Gasconade County, Missouri",14.2%,2140
29075,MO,"Gentry County, Missouri",14.8%,1010
29077,MO,"Greene County, Missouri",16.6%,46500
29079,MO,"Grundy County, Missouri",15.7%,1610
29081,MO,"Harrison County, Missouri",15.3%,1340
29083,MO,"Henry County, Missouri",15.8%,3500
29085,MO,"Hickory County, Missouri",16.8%,1590
29087,MO,"Holt County, Missouri",14.4%,670
29089,MO,"Howard County, Missouri",15.2%,1550
29091,MO,"Howell County, Missouri",17.5%,7070
29093,MO,"Iron County, Missouri",18.5%,1920
29095,MO,"Jackson County, Missouri",19%,128540
29097,MO,"Jasper County, Missouri",15.3%,17850
29099,MO,"Jefferson County, Missouri",13%,28630
29101,MO,"Johnson County, Missouri",16.7%,9020
29103,MO,"Knox County, Missouri",15.9%,650
29105,MO,"Laclede County, Missouri",17%,6050
29107,MO,"Lafayette County, Missouri",13.6%,4490
29109,MO,"Lawrence County, Missouri",14.8%,5660
29111,MO,"Lewis County, Missouri",14.2%,1440
29113,MO,"Lincoln County, Missouri",14.4%,7690
29115,MO,"Linn County, Missouri",16.5%,2060
29117,MO,"Livingston County, Missouri",14.9%,2240
29119,MO,"McDonald County, Missouri",14.9%,3390
29121,MO,"Macon County, Missouri",16.1%,2490
29123,MO,"Madison County, Missouri",15.8%,1960
29125,MO,"Maries County, Missouri",15.2%,1380
29127,MO,"Marion County, Missouri",16.3%,4700
29129,MO,"Mercer County, Missouri",14.8%,550
29131,MO,"Miller County, Missouri",16.5%,4100
29133,MO,"Mississippi County, Missouri",22.5%,3210
29135,MO,"Moniteau County, Missouri",14%,2200
29137,MO,"Monroe County, Missouri",15.5%,1350
29139,MO,"Montgomery County, Missouri",15.2%,1840
29141,MO,"Morgan County, Missouri",17.1%,3480
29143,MO,"New Madrid County, Missouri",20.4%,3790
29145,MO,"Newton County, Missouri",13.9%,8160
29147,MO,"Nodaway County, Missouri",19.6%,4570
29149,MO,"Oregon County, Missouri",17.4%,1910
29151,MO,"Osage County, Missouri",11.8%,1630
29153,MO,"Ozark County, Missouri",17%,1630
29155,MO,"Pemiscot County, Missouri",24.2%,4360
29157,MO,"Perry County, Missouri",13.1%,2490
29159,MO,"Pettis County, Missouri",15.5%,6560
29161,MO,"Phelps County, Missouri",17.1%,7720
29163,MO,"Pike County, Missouri",15.6%,2900
29165,MO,"Platte County, Missouri",13.3%,12230
29167,MO,"Polk County, Missouri",16.6%,5160
29169,MO,"Pulaski County, Missouri",17.4%,9310
29171,MO,"Putnam County, Missouri",15.4%,760
29173,MO,"Ralls County, Missouri",12.8%,1310
29175,MO,"Randolph County, Missouri",16.8%,4240
29177,MO,"Ray County, Missouri",14.7%,3410
29179,MO,"Reynolds County, Missouri",17%,1130
29181,MO,"Ripley County, Missouri",17.8%,2500
29183,MO,"St. Charles County, Missouri",11.2%,41530
29185,MO,"St. Clair County, Missouri",16.7%,1610
29186,MO,"Ste. Genevieve County, Missouri",14.1%,2540
29187,MO,"St. Francois County, Missouri",17.9%,11760
29189,MO,"St. Louis County, Missouri",16.4%,163680
29195,MO,"Saline County, Missouri",15.6%,3650
29197,MO,"Schuyler County, Missouri",17.4%,760
29199,MO,"Scotland County, Missouri",14.1%,680
29201,MO,"Scott County, Missouri",17.8%,6980
29203,MO,"Shannon County, Missouri",17.7%,1480
29205,MO,"Shelby County, Missouri",15.3%,950
29207,MO,"Stoddard County, Missouri",16%,4790
29209,MO,"Stone County, Missouri",16.2%,5120
29211,MO,"Sullivan County, Missouri",13.4%,880
29213,MO,"Taney County, Missouri",18.6%,9860
29215,MO,"Texas County, Missouri",17.1%,4420
29217,MO,"Vernon County, Missouri",15.8%,3320
29219,MO,"Warren County, Missouri",13.7%,4520
29221,MO,"Washington County, Missouri",17.7%,4460
29223,MO,"Wayne County, Missouri",16.8%,2260
29225,MO,"Webster County, Missouri",14.9%,5420
29227,MO,"Worth County, Missouri",13.4%,280
29229,MO,"Wright County, Missouri",17.1%,3180
29510,MO,"St. Louis city, Missouri",26.8%,85400
30001,MT,"Beaverhead County, Montana",13.1%,1220
30003,MT,"Big Horn County, Montana",18.7%,2440
