fips,pct_overall_pov_19,med_inc_19
17163,13.3,"57,726"
17165,15.7,"48,547"
17167,12.2,"61,768"
17169,11.3,"56,015"
17171,11.2,"61,231"
17173,9.4,"61,376"
17175,11.2,"54,804"
17177,11.5,"51,786"
17179,8.2,"66,206"
17181,17.2,"51,575"
17183,16.8,"46,295"
17185,13.5,"54,249"
17187,11.4,"53,621"
17189,8.1,"64,297"
17191,13.1,"51,829"
17193,14.5,"51,388"
17195,11.4,"50,880"
17197,6.5,"90,249"
17199,13.4,"56,958"
17201,16.1,"59,510"
17203,6.1,"77,117"
18001,12.6,"53,532"
18003,10.5,"56,838"
18005,11.2,"71,181"
18007,8.7,"55,016"
18009,12.8,"46,811"
18011,6.9,"84,137"
18013,10.5,"59,617"
18015,8.7,"58,965"
18017,12.6,"51,777"
18019,9.7,"59,441"
18021,11.3,"54,349"
18023,11.3,"55,336"
18025,16.5,"44,332"
18027,11.3,"56,611"
18029,9.3,"71,351"
18031,9.6,"60,891"
18033,9.5,"59,714"
18035,21.5,"45,912"
18037,5.9,"63,869"
18039,9.6,"55,782"
18041,13.5,"48,499"
18043,10.6,"64,614"
18045,12.5,"55,337"
18047,9.2,"67,315"
18049,9.6,"55,011"
18051,9.3,"61,872"
18053,16,"47,509"
18055,13.5,"51,918"
18057,4.2,"107,710"
18059,5.2,"77,905"
18061,8.2,"64,270"
18063,4.9,"85,827"
18065,12.9,"49,293"
18067,12.2,"54,048"
18069,9.7,"54,565"
18071,10.1,"59,472"
18073,8.8,"65,352"
18075,12.5,"49,447"
18077,11.6,"53,378"
18079,11.6,"55,022"
18081,6,"74,427"
18083,12.7,"48,760"
18085,9,"64,677"
18087,7.5,"70,746"
18089,14.5,"57,280"
18091,13.4,"56,427"
18093,10.5,"56,261"
18095,13.1,"54,145"
18097,15.2,"50,707"
18099,10.9,"53,695"
18101,10.9,"56,735"
18103,13,"53,658"
18105,20.8,"53,113"
18107,12.1,"54,366"
18109,8.9,"63,414"
18111,9.5,"61,457"
18113,7.8,"60,980"
18115,9.6,"58,294"
18117,14.1,"47,931"
18119,12,"53,387"
18121,15.1,"51,554"
18123,12.1,"53,908"
18125,9.4,"52,378"
18127,8.1,"74,064"
18129,8.6,"68,435"
18131,11.2,"52,432"
18133,10.5,"64,098"
18135,13.3,"50,496"
18137,9.1,"61,219"
18139,11,"54,371"
18141,15.3,"53,881"
18143,13.6,"50,571"
18145,10.1,"59,798"
18147,8.7,"59,183"
18149,13.3,"54,001"
18151,8.6,"59,444"
18153,14.4,"53,375"
18155,14.5,"52,482"
18157,16.1,"51,228"
18159,7.8,"69,960"
18161,9.6,"53,866"
18163,14.4,"51,603"
18165,12.2,"50,723"
18167,20.8,"48,082"
18169,10.9,"59,874"
18171,9.4,"64,109"
18173,6.3,"79,644"
18175,12.1,"51,948"
18177,15.2,"47,885"
18179,7.4,"61,636"
18181,10.3,"58,295"
18183,7.7,"67,347"
19001,10.7,"57,977"
19003,12.5,"53,385"
19005,13,"56,240"
19007,19.3,"41,672"
19009,10.9,"53,197"
19011,7.8,"70,023"
19013,13.7,"60,010"
19015,8.7,"63,975"
19017,6.7,"67,229"
19019,9.5,"67,906"
19021,10.2,"57,048"
19023,10.5,"57,080"
19025,11.5,"57,007"
19027,8.2,"61,379"
19029,14.3,"53,692"
19031,7.8,"71,029"
19033,8.5,"54,589"
19035,10.2,"59,901"
19037,8.5,"60,111"
19039,11.7,"57,708"
19041,10.3,"57,174"
19043,11,"53,223"
19045,13.1,"56,865"
19047,12.5,"58,077"
19049,4.3,"97,535"
19051,11.5,"57,150"
19053,18.3,"44,873"
19055,8.6,"70,091"
19057,14.9,"53,547"
19059,7,"66,211"
19061,10.7,"62,481"
19063,11.4,"55,635"
19065,13.2,"53,142"
19067,11.7,"55,369"
19069,11.2,"55,847"
19071,11.6,"60,498"
19073,11.2,"55,562"
19075,5.5,"73,683"
19077,8.8,"64,965"
19079,9.1,"63,234"
19081,9,"62,030"
19083,10.6,"57,103"
19085,8.7,"63,901"
19087,11.7,"57,747"
19089,9.6,"58,028"
19091,10.8,"56,695"
19093,10.5,"58,249"
19095,6.7,"66,861"
19097,12.3,"57,687"
19099,8.4,"67,317"
19101,14.2,"51,741"
19103,16,"67,295"
19105,9.5,"63,399"
19107,11.4,"54,937"
19109,10.3,"59,568"
19111,15,"51,089"
19113,11.1,"64,783"
19115,9.2,"60,544"
19117,14.9,"53,085"
19119,7.4,"66,139"
19121,6.9,"72,578"
19123,10.8,"59,242"
19125,8.2,"66,381"
19127,13,"55,631"
19129,8.8,"72,679"
19131,9.3,"61,247"
19133,12.3,"53,104"
19135,10.7,"56,397"
19137,13.2,"52,715"
19139,10.1,"61,767"
19141,10.1,"60,298"
19143,9.3,"60,702"
19145,14.9,"52,179"
19147,11.1,"55,074"
19149,7.2,"69,165"
19151,10.1,"56,146"
19153,10.1,"67,331"
19155,11,"60,322"
19157,11.6,"57,741"
19159,15.1,"50,890"
19161,9.5,"59,392"
19163,11.8,"65,724"
19165,8.7,"60,498"
19167,7,"71,566"
19169,15.8,"64,151"
19171,13.1,"56,281"
19173,12.5,"51,510"
19175,12.1,"52,914"
19177,12.8,"50,425"
19179,14.2,"50,533"
19181,7.3,"79,557"
19183,9.1,"63,230"
19185,19.1,"49,962"
19187,12.1,"53,344"
19189,10.2,"50,258"
19191,8.6,"65,482"
19193,12.8,"58,419"
19195,9.8,"60,139"
19197,11,"54,251"
20001,17.3,"46,690"
20003,12.7,"51,352"
20005,13.8,"51,860"
20007,13.6,"50,660"
20009,13.4,"50,754"
20011,15.6,"47,452"
20013,15.4,"47,558"
20015,8.5,"66,199"
20017,11.4,"51,022"
20019,16.4,"43,664"
20021,15.4,"47,682"
20023,11.6,"47,323"
20025,12.4,"59,085"
20027,10,"52,781"
20029,13.5,"46,299"
20031,11.2,"62,715"
20033,11.6,"47,854"
20035,13.5,"51,537"
20037,18.5,"42,723"
20039,13.2,"46,878"
20041,9.8,"58,066"
20043,11.4,"52,596"
20045,15.1,"62,559"
20047,11.7,"49,047"
20049,19.4,"41,930"
20051,13.1,"51,237"
20053,9.6,"56,988"
20055,13,"57,412"
20057,13.8,"54,604"
20059,10.4,"55,984"
20061,11.7,"58,978"
20063,9.6,"52,986"
20065,11.8,"48,912"
20067,10.5,"65,178"
20069,7.6,"69,077"
20071,10.9,"58,492"
20073,14.9,"44,876"
20075,13.1,"55,857"
20077,14.2,"47,540"
20079,9.3,"62,961"
20081,9.7,"62,477"
20083,10.4,"58,360"
20085,10.9,"60,615"
20087,7.8,"68,549"
20089,13,"46,017"
20091,5.3,"91,913"
20093,10.4,"67,301"
20095,11.3,"56,907"
20097,12.1,"49,588"
20099,15.8,"44,170"
20101,10.3,"60,315"
20103,8.3,"75,840"
20105,12.1,"47,557"
20107,12,"62,876"
20109,10,"53,538"
20111,15.1,"49,840"
20113,7.2,"65,834"
20115,10.7,"51,771"
20117,9.4,"55,858"
20119,9.7,"64,640"
20121,6.8,"74,428"
20123,11.1,"51,979"
20125,15.7,"44,240"
20127,10.5,"54,775"
20129,11.7,"56,175"
20131,8.8,"63,373"
20133,15.7,"49,533"
20135,10.6,"54,727"
20137,11.6,"49,739"
20139,14.2,"55,655"
20141,13.5,"46,351"
20143,9.9,"58,729"
20145,14,"65,141"
20147,11,"51,546"
20149,7.2,"73,685"
20151,11.2,"53,980"
20153,14.2,"50,768"
20155,13.4,"53,371"
20157,12.2,"47,082"
20159,11.8,"56,350"
20161,20.9,"51,996"
20163,10.5,"49,485"
20165,12.2,"53,189"
20167,14.4,"46,112"
20169,12.3,"56,741"
20171,7.9,"62,914"
20173,12.6,"60,014"
20175,14.2,"55,727"
20177,9.8,"59,451"
20179,11.8,"54,627"
20181,12.5,"54,000"
20183,11.6,"45,915"
20185,13.7,"51,007"
20187,10.6,"63,401"
20189,9.7,"61,264"
20191,11.4,"53,618"
20193,9.1,"58,652"
20195,10.8,"52,597"
20197,6.9,"66,168"
20199,12.1,"54,714"
20201,9.5,"46,263"
20203,11,"54,009"
20205,13.3,"46,243"
20207,14.3,"43,751"
20209,20.6,"47,292"
21001,21.4,"37,650"
21003,16.8,"47,307"
21005,10.2,"61,308"
21007,15.5,"48,053"
21009,20.1,"44,859"
21011,19.4,"42,248"
21013,30.3,"30,940"
21015,7.1,"78,806"
21017,14.1,"47,046"
21019,20.6,"50,017"
21021,15.5,"53,644"
21023,14.1,"53,289"
21025,29.2,"33,407"
21027,18.3,"46,069"
21029,7.8,"66,335"
21031,18,"46,305"
21033,15.8,"44,144"
21035,16.5,"45,574"
21037,10.9,"66,520"
21039,15.5,"49,659"
21041,15.2,"51,672"
21043,20,"43,492"
21045,25.2,"34,751"
21047,18.9,"46,390"
21049,13,"55,428"
21051,32.6,"30,175"
21053,23.4,"34,005"
21055,19.2,"44,595"
21057,23,"34,897"
21059,15.4,"52,620"
21061,16,"47,482"
21063,27.7,"34,262"
21065,22.7,"35,004"
21067,15.4,"58,981"
21069,21.1,"43,943"
21071,27.4,"35,828"
21073,11.5,"58,917"
21075,25.6,"34,376"
21077,13.3,"55,273"
21079,15.7,"51,757"
21081,13.3,"55,210"
21083,17.9,"48,038"
21085,20.3,"43,771"
21087,18.6,"38,896"
21089,15.9,"52,179"
21091,12.2,"60,626"
21093,10.7,"57,711"
21095,31.1,"30,050"
21097,15.3,"51,475"
21099,20.1,"42,718"
21101,16.3,"53,199"
21103,14.7,"51,806"
21105,16.9,"52,331"
21107,18.1,"48,769"
21109,27.8,"34,940"
21111,14.2,"59,025"
21113,11,"62,533"
21115,25.8,"31,202"
21117,11.2,"68,692"
21119,30.5,"32,613"
21121,31.5,"31,634"
21123,15.4,"49,785"
21125,21.4,"44,033"
21127,23.4,"38,055"
21129,34.9,"30,905"
21131,32.3,"32,202"
21133,28.9,"32,435"
21135,23.2,"37,410"
21137,19.7,"43,220"
21139,12.2,"50,521"
21141,15.3,"48,902"
21143,14.5,"52,978"
21145,15.5,"48,219"
21147,34.5,"32,701"
21149,14,"51,184"
21151,17.7,"50,316"
21153,29.4,"32,045"
21155,16.8,"48,062"
21157,11.8,"57,945"
21159,34.4,"34,291"
21161,15.7,"47,861"
21163,11.4,"54,946"
21165,26.1,"37,457"
21167,13.8,"55,267"
21169,22.6,"38,978"
21171,21.7,"36,512"
21173,15.8,"52,903"
21175,26.5,"37,433"
21177,18.8,"45,049"
21179,10.5,"64,795"
21181,17.3,"38,084"
21183,15.6,"47,542"
21185,4.9,"101,152"
21187,15.7,"51,494"
21189,35.5,"28,727"
21191,12.4,"58,962"
21193,24.2,"38,000"
