fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
8031,2.7,"75,456",97.9
8033,3,"50,232",65.1
8035,2.4,"123,697",160.4
8037,2.2,"89,268",115.8
8039,2.2,"101,733",131.9
8041,3.3,"72,675",94.3
8043,4.6,"52,239",67.8
8045,2.7,"73,788",95.7
8047,2.3,"74,806",97
8049,2.1,"71,029",92.1
8051,2.1,"60,408",78.3
8053,3.7,"61,391",79.6
8055,5.7,"39,955",51.8
8057,2.3,"53,577",69.5
8059,2.5,"89,696",116.3
8061,1.6,"46,901",60.8
8063,1.7,"42,951",55.7
8065,2.3,"56,850",73.7
8067,2.5,"77,829",100.9
8069,2.4,"75,332",97.7
8071,3.9,"43,452",56.4
8073,2.3,"43,077",55.9
8075,2.4,"58,429",75.8
8077,3.4,"60,249",78.1
8079,2.3,"63,015",81.7
8081,3.4,"63,232",82
8083,4.2,"52,641",68.3
8085,3.1,"50,707",65.8
8087,2.6,"57,535",74.6
8089,4.1,"43,723",56.7
8091,2.9,"72,836",94.5
8093,2.5,"77,221",100.2
8095,1.6,"53,432",69.3
8097,3.1,"92,820",120.4
8099,2.6,"47,051",61
8101,4.1,"51,075",66.2
8103,3.7,"65,960",85.5
8105,4.1,"48,496",62.9
8107,2.2,"87,691",113.7
8109,4,"37,004",48
8111,3,"50,524",65.5
8113,2.8,"77,209",100.1
8115,2,"42,808",55.5
8117,1.8,"86,570",112.3
8119,3.1,"70,599",91.6
8121,2,"53,263",69.1
8123,2.5,"78,160",101.4
8125,1.6,"52,841",68.5
9000,3.7,"78,920",100
9001,3.6,"96,966",122.9
9003,3.9,"75,336",95.5
9005,3.5,"81,015",102.7
9007,3.2,"81,721",103.5
9009,3.9,"69,687",88.3
9011,3.6,"75,226",95.3
9013,3.3,"90,181",114.3
9015,4,"63,309",80.2
10000,3.8,"70,348",100
10001,4.2,"58,804",83.6
10003,3.7,"76,076",108.1
10005,3.8,"64,839",92.2
11000,5.5,"90,395",100
11001,5.5,"90,395",100
12000,3.1,"59,198",100
12001,2.9,"49,880",84.3
12003,3.1,"60,454",102.1
12005,3.9,"58,376",98.6
12007,3.1,"47,509",80.3
12009,3.2,"57,582",97.3
12011,3,"61,429",103.8
12013,4.1,"41,399",69.9
12015,3.7,"54,756",92.5
12017,4.8,"49,762",84.1
12019,3,"75,776",128
12021,3.1,"76,415",129.1
12023,3.2,"47,087",79.5
12027,3.5,"41,673",70.4
12029,3.8,"39,793",67.2
12031,3.3,"58,339",98.5
12033,3.2,"52,822",89.2
12035,3.8,"62,831",106.1
12037,3.5,"47,504",80.2
12039,4.1,"42,975",72.6
12041,3.4,"46,171",78
12043,3.9,"45,412",76.7
12045,4.8,"53,228",89.9
12047,4.1,"39,241",66.3
12049,5,"41,430",70
12051,5.8,"45,107",76.2
12053,4.2,"50,705",85.7
12055,4.5,"45,723",77.2
12057,3.1,"61,133",103.3
12059,3.5,"38,874",65.7
12061,3.8,"61,173",103.3
12063,3.6,"40,543",68.5
12065,3.3,"47,192",79.7
12067,3,"45,480",76.8
12069,3.2,"57,660",97.4
12071,3.1,"62,364",105.3
12073,3.1,"55,081",93
12075,3.7,"41,405",69.9
12077,3.6,"44,236",74.7
12079,3.8,"37,919",64.1
12081,3.1,"64,151",108.4
12083,3.8,"49,079",82.9
12085,3.1,"70,806",119.6
12086,2.4,"54,991",92.9
12087,2.1,"67,528",114.1
12089,2.9,"72,818",123
12091,2.7,"63,520",107.3
12093,3.5,"45,225",76.4
12095,2.9,"63,133",106.6
12097,3.3,"52,270",88.3
12099,3.3,"66,621",112.5
12101,3.5,"55,745",94.2
12103,3,"56,708",95.8
12105,3.7,"51,817",87.5
12107,4.3,"41,986",70.9
12109,2.6,"90,839",153.4
12111,3.9,"57,292",96.8
12113,3,"66,139",111.7
12115,3.1,"66,258",111.9
12117,2.9,"69,954",118.2
12119,4.6,"63,464",107.2
12121,3.4,"49,453",83.5
12123,3.6,"42,987",72.6
12125,3,"50,893",86
12127,3.4,"53,554",90.5
12129,2.9,"58,640",99.1
12131,2.8,"62,600",105.7
12133,3.4,"42,518",71.8
13000,3.4,"61,950",100
13001,3.9,"43,821",70.7
13003,3,"38,581",62.3
13005,3.5,"41,807",67.5
13007,4.7,"39,515",63.8
13009,4.2,"44,429",71.7
13011,2.7,"53,481",86.3
13013,2.8,"68,924",111.3
13015,3.3,"60,254",97.3
13017,5.5,"35,931",58
13019,4,"42,058",67.9
13021,3.9,"43,066",69.5
13023,5,"48,115",77.7
13025,4.1,"44,680",72.1
13027,3.4,"39,554",63.8
13029,3,"79,296",128
13031,3.7,"48,788",78.8
13033,5.1,"42,632",68.8
13035,3.4,"47,410",76.5
13037,3.6,"34,960",56.4
13039,3.6,"58,552",94.5
13043,3,"41,665",67.3
13045,3.4,"59,193",95.5
13047,3,"60,753",98.1
13049,3.8,"42,891",69.2
13051,3.3,"57,122",92.2
13053,4.6,"46,106",74.4
13055,5,"41,561",67.1
13057,2.7,"88,635",143.1
13059,3.6,"41,036",66.2
13061,6.9,"24,732",39.9
13063,4.2,"50,737",81.9
13065,3.9,"42,928",69.3
13067,3,"79,622",128.5
13069,3.9,"41,675",67.3
13071,3.2,"41,899",67.6
13073,3,"88,285",142.5
13075,3.4,"40,670",65.6
13077,2.9,"79,232",127.9
13079,3.6,"50,411",81.4
13081,3.9,"40,482",65.3
13083,3.3,"45,986",74.2
13085,2.8,"69,155",111.6
13087,3.8,"40,473",65.3
13089,3.4,"63,606",102.7
13091,5.4,"41,118",66.4
13093,3.8,"37,109",59.9
13095,4.7,"36,894",59.6
13097,3.5,"62,915",101.6
13099,3.9,"40,011",64.6
13101,2.8,"40,408",65.2
13103,2.9,"71,628",115.6
13105,4,"40,962",66.1
13107,5.3,"38,529",62.2
13109,3.4,"41,425",66.9
13111,3.3,"47,980",77.4
13113,3,"94,563",152.6
13115,3.8,"50,520",81.5
13117,2.7,"113,332",182.9
13119,3.5,"47,691",77
13121,3.5,"79,235",127.9
13123,3.5,"57,007",92
13125,3.7,"49,350",79.7
13127,3.3,"58,017",93.7
13129,3.4,"53,373",86.2
13131,3.4,"42,603",68.8
13133,3.9,"60,973",98.4
13135,3,"72,225",116.6
13137,3.5,"51,296",82.8
13139,2.8,"66,698",107.7
13141,5.5,"31,715",51.2
13143,3.3,"49,020",79.1
13145,3.1,"74,052",119.5
