fips,fi_rate_18,ch_fi_rate_18,cpm_18
29023,18.2%,23.3%,US$2.60
29025,13.4%,16.3%,US$3.05
29027,11.7%,15.1%,US$3.07
29029,14.1%,19.2%,US$3.19
29031,12.4%,14.2%,US$2.86
29033,13.6%,16.4%,US$2.84
29035,16.6%,19.3%,US$2.69
29037,10.6%,12.4%,US$2.98
29039,15.5%,19%,US$2.81
29041,12.3%,13.9%,US$2.76
29043,10.8%,12.1%,US$2.93
29045,12.8%,16.8%,US$2.71
29047,10%,10.1%,US$3.10
29049,11.3%,13.4%,US$3.36
29051,10.9%,11.8%,US$2.90
29053,12.6%,14.1%,US$2.94
29055,16.5%,20%,US$2.91
29057,15.4%,21.4%,US$2.88
29059,14.9%,17.8%,US$2.92
29061,12%,14.6%,US$3.01
29063,13.2%,15.5%,US$2.83
29065,16.7%,21.3%,US$2.91
29067,16.7%,24.2%,US$2.93
29069,19.9%,25.5%,US$2.58
29071,11.4%,13.7%,US$2.88
29073,11.5%,13.2%,US$2.84
29075,13.8%,15.9%,US$2.85
29077,13.8%,14.7%,US$2.96
29079,14.1%,17.3%,US$2.98
29081,15%,18.2%,US$3.02
29083,16.4%,21.2%,US$2.62
29085,15.9%,19.7%,US$2.78
29087,12.8%,14.5%,US$2.91
29089,12.8%,16.3%,US$2.99
29091,17.2%,21.6%,US$2.69
29093,18.3%,23.7%,US$2.83
29095,13.6%,15.3%,US$3.00
29097,13.4%,15.7%,US$2.82
29099,10.7%,12.6%,US$3.11
29101,12.5%,12.5%,US$2.88
29103,15%,18.9%,US$2.79
29105,14.1%,16.7%,US$2.61
29107,12.3%,15.1%,US$3.38
29109,14%,18.5%,US$2.93
29111,12.5%,14.8%,US$2.83
29113,11.8%,14.1%,US$2.79
29115,13.7%,18.7%,US$2.77
29117,13.3%,15.8%,US$3.00
29119,14.2%,17.5%,US$3.16
29121,13.5%,17.7%,US$2.73
29123,15.2%,17.3%,US$2.86
29125,14.1%,18.4%,US$2.93
29127,14.4%,16.7%,US$2.73
29129,11.9%,12%,US$2.76
29131,14.4%,18.5%,US$3.33
29133,18.5%,22.5%,US$2.68
29135,11.5%,12.7%,US$3.03
29137,13.4%,17.9%,US$2.67
29139,14.1%,18%,US$2.79
29141,16.2%,22%,US$2.94
29143,18.8%,24.6%,US$2.77
29145,12.3%,14.3%,US$2.61
29147,13.8%,16.2%,US$3.14
29149,17.6%,24.6%,US$2.81
29151,8.9%,10.2%,US$3.00
29153,18.6%,25.9%,US$3.01
29155,21.6%,27.5%,US$2.72
29157,10.5%,11.5%,US$2.87
29159,14.6%,17.4%,US$2.73
29161,15.2%,17%,US$2.73
29163,12.9%,15.6%,US$2.80
29165,9.6%,9.1%,US$3.38
29167,13.6%,15.5%,US$2.61
29169,15.3%,16.7%,US$3.16
29171,14.9%,21.3%,US$2.64
29173,11.4%,13.3%,US$2.85
29175,14%,17.4%,US$2.61
29177,12.6%,16.8%,US$3.06
29179,16.1%,20.4%,US$2.84
29181,20.6%,27.8%,US$2.68
29183,8%,8.2%,US$3.20
29185,16%,20.9%,US$2.71
29186,12.4%,17%,US$3.04
29187,15.3%,18.4%,US$2.81
29189,10.9%,11.3%,US$3.31
29195,13.7%,15.9%,US$2.59
29197,14.1%,16.7%,US$2.64
29199,13.1%,15.6%,US$2.85
29201,16.2%,20.3%,US$2.87
29203,20.3%,26.9%,US$2.78
29205,13.2%,17.3%,US$2.71
29207,16.1%,19.5%,US$2.96
29209,13.7%,18.3%,US$3.12
29211,12.6%,14.2%,US$2.85
29213,15.8%,19.5%,US$3.21
29215,18.1%,23.3%,US$2.93
29217,13.4%,15.8%,US$3.00
29219,11.9%,15.6%,US$2.66
29221,17%,21.7%,US$2.94
29223,19.9%,25%,US$2.73
29225,13.4%,16.2%,US$2.89
29227,12.8%,16.8%,US$3.06
29229,17.8%,24.1%,US$2.76
29510,18.2%,21.8%,US$3.25
30001,10%,13.7%,US$3.36
30003,16.4%,25.8%,US$3.18
30005,17.8%,28.6%,US$3.32
30007,8.9%,15.3%,US$3.29
30009,9.3%,16.2%,US$3.20
30011,9.3%,17.2%,US$3.19
30013,10.6%,16.3%,US$3.11
30015,11.5%,17.7%,US$3.15
30017,10.1%,15%,US$3.20
30019,6.7%,11.7%,US$3.56
30021,8.8%,13.1%,US$3.50
30023,14.4%,21.9%,US$3.33
30025,8.2%,12.3%,US$3.42
30027,10%,17.6%,US$3.16
30029,9.7%,16.8%,US$3.17
30031,7.5%,10.4%,US$3.33
30033,7.1%,10.7%,US$3.20
30035,18.6%,26.6%,US$3.20
30037,11.4%,17.8%,US$3.17
30039,10.6%,15.9%,US$3.30
30041,12.7%,19.8%,US$3.18
30043,7.8%,13.8%,US$3.30
30045,10.6%,15%,US$3.16
30047,12.8%,21.7%,US$3.29
30049,9.3%,15.2%,US$3.23
30051,11.2%,18.4%,US$3.12
30053,15%,27.3%,US$3.19
30055,7.1%,9.7%,US$3.48
30057,9.4%,16.4%,US$3.33
30059,11.4%,17.4%,US$3.24
30061,15.3%,28.2%,US$3.21
30063,10.3%,14.5%,US$3.25
30065,12.4%,22.1%,US$3.17
30067,9.7%,14.7%,US$3.37
30069,9.4%,15.6%,US$3.17
30071,11.6%,18.2%,US$3.36
30073,12.5%,22.8%,US$3.15
30075,9.6%,14.1%,US$3.19
30077,11%,19.2%,US$3.25
30079,9.3%,16.9%,US$3.44
30081,11.7%,20.7%,US$3.82
30083,7.8%,10.9%,US$3.56
30085,15.2%,23.1%,US$3.63
30087,13.2%,20.6%,US$3.18
30089,14.5%,25.8%,US$3.19
30091,8.5%,13.7%,US$3.63
30093,12.9%,20.3%,US$3.39
30095,7.4%,13%,US$3.17
30097,8.2%,14%,US$3.23
30099,10.7%,18.3%,US$3.20
30101,11.9%,17.9%,US$3.12
30103,11.9%,18.9%,US$3.16
30105,8.8%,14.1%,US$3.69
30107,11.8%,22.9%,US$3.19
30109,9.7%,19.8%,US$3.59
30111,8.7%,13.6%,US$3.15
31001,12.9%,18.4%,US$2.98
31003,12.6%,19.6%,US$3.02
31005,12.9%,19.1%,US$3.09
31007,12.1%,18%,US$3.13
31009,13.7%,22%,US$3.03
31011,9.9%,14.7%,US$3.01
31013,11.7%,16.8%,US$3.05
31015,12.8%,17.6%,US$3.32
31017,13.5%,22.1%,US$3.35
31019,11.7%,16.1%,US$3.26
31021,13.2%,19.8%,US$3.01
31023,10.3%,15.4%,US$3.01
31025,9.5%,14.4%,US$3.46
31027,10.3%,16.3%,US$3.00
31029,10.4%,14.6%,US$3.06
31031,12.6%,16.3%,US$3.38
31033,12.2%,16.9%,US$3.08
31035,12.1%,19.2%,US$2.85
31037,9.4%,12.5%,US$2.97
31039,10.1%,14.2%,US$2.98
31041,12.2%,18.3%,US$2.97
31043,11.9%,17.4%,US$2.80
31045,12.3%,17.9%,US$3.06
31047,11.6%,16.5%,US$2.90
31049,12.8%,18.9%,US$3.17
31051,11.9%,18.5%,US$2.97
31053,12.8%,18.8%,US$2.90
31055,12.4%,16.9%,US$3.03
31057,10.8%,15.6%,US$2.90
31059,12.1%,17.2%,US$3.02
31061,13.5%,21.3%,US$3.18
31063,12.6%,20.1%,US$3.00
31065,13.2%,18.3%,US$3.12
31067,12.7%,18.4%,US$3.01
31069,11.8%,16.7%,US$3.09
31071,11.4%,17.2%,US$3.25
31073,10.4%,14.7%,US$2.96
31075,14.2%,23.2%,US$3.09
31077,11.6%,17.9%,US$3.24
31079,12.2%,17.4%,US$2.76
31081,9.3%,14.7%,US$2.85
31083,12.3%,18.8%,US$3.31
31085,13.1%,17.8%,US$3.04
31087,14.4%,20.8%,US$2.98
31089,11.4%,15.9%,US$3.38
31091,17.4%,24.2%,US$3.10
31093,12.1%,17.8%,US$2.95
31095,13.4%,19%,US$2.93
31097,12.3%,18.2%,US$3.03
31099,11.2%,17%,US$3.18
31101,12.6%,18.6%,US$3.09
31103,10%,16.3%,US$3.37
31105,12.5%,17%,US$3.26
31107,12.4%,18.8%,US$3.07
31109,12%,16.2%,US$3.02
31111,13%,18.1%,US$3.08
31113,10.8%,15.6%,US$3.10
31115,11.9%,17.6%,US$3.24
31117,14%,22.7%,US$3.09
31119,12.4%,17.7%,US$3.00
31121,12.6%,17.5%,US$2.86
31123,11.4%,15.7%,US$3.07
31125,12.4%,17.3%,US$3.03
31127,12.4%,18.8%,US$3.05
31129,13.1%,21%,US$3.00
31131,12.2%,19.6%,US$3.01
31133,12.7%,21.6%,US$3.02
31135,9.8%,14.9%,US$3.09
31137,10.9%,15.5%,US$3.15
31139,10.4%,15.3%,US$3.02
31141,9.7%,13.7%,US$3.01
31143,10.3%,16.3%,US$3.05
31145,11.7%,18.7%,US$2.99
31147,13.1%,22.1%,US$3.07
31149,11%,16%,US$3.43
31151,11.4%,16.1%,US$3.02
31153,9.2%,13%,US$3.02
31155,11%,17.2%,US$3.30
31157,12.6%,18.2%,US$3.02
31159,10.2%,14.8%,US$3.03
31161,15.2%,24.9%,US$3.19
31163,12.6%,19.2%,US$2.95
31165,11.6%,17.2%,US$3.05
31167,10%,14.8%,US$3.00
31169,11.4%,16.9%,US$2.89
31171,12.5%,18.5%,US$3.08
31173,18.4%,26.7%,US$2.93
31175,12.4%,17.2%,US$3.25
31177,11.1%,16%,US$3.13
31179,10.9%,13.5%,US$2.93
31181,12.4%,18.2%,US$3.01
31183,12.5%,20.2%,US$3.41
31185,11.7%,17.2%,US$2.85
32001,12.6%,18.1%,US$3.40
32003,12.8%,19.3%,US$3.31
32005,11.4%,19.1%,US$3.72
32007,10%,16.9%,US$3.35
32009,12.7%,19.3%,US$3.55
32011,10.9%,20.3%,US$3.32
32013,9.9%,15.8%,US$3.23
32015,9.8%,18.8%,US$3.41
32017,12.2%,21.5%,US$3.26
32019,13.1%,21.1%,US$3.38
32021,17.2%,31.3%,US$3.35
32023,16.2%,25.9%,US$3.15
32027,12.2%,20.9%,US$3.40
32029,11.9%,23%,US$3.39
32031,11.2%,16.8%,US$3.42
32033,11.5%,19.3%,US$3.12
32510,14.7%,22.9%,US$3.24
33001,9.4%,14.6%,US$3.74
33003,9.6%,15%,US$3.95
33005,9.5%,13.7%,US$3.38
33007,12.6%,18.6%,US$3.59
33009,9.7%,14.3%,US$3.79
33011,8.7%,11.5%,US$3.52
33013,8.6%,11.9%,US$3.76
33015,7%,10.1%,US$3.61
33017,9%,12.5%,US$3.66
33019,9.7%,14.2%,US$3.37
34001,11.4%,17.1%,US$3.45
34003,6.5%,7.1%,US$3.96
34005,7.5%,10.4%,US$3.37
34007,10.3%,14.1%,US$3.46
34009,11.7%,18.7%,US$3.77
34011,12.6%,18%,US$3.03
34013,12.7%,15.5%,US$4.21
34015,7.8%,11.2%,US$3.26
34017,10.9%,12.4%,US$3.26
34019,5.3%,6.9%,US$3.40
34021,8.9%,11%,US$3.45
34023,7.3%,8.7%,US$3.21
34025,7.1%,9.1%,US$3.55
34027,5.3%,6%,US$3.85
34029,8.9%,14.5%,US$3.49
34031,10.4%,14%,US$3.50
34033,11.3%,17.5%,US$3.78
34035,5.2%,5.9%,US$3.72
34037,6.4%,9.5%,US$4.01
34039,8.2%,10.2%,US$3.57
34041,8.2%,11.3%,US$3.55
35001,13.1%,20.5%,US$3.10
35003,19.2%,34.8%,US$2.97
35005,14.3%,23.2%,US$2.91
35006,19.4%,31.1%,US$2.88
35007,16.9%,27.9%,US$3.51
35009,15%,23.7%,US$3.23
35011,14.9%,20.3%,US$3.07
35013,15.7%,25.8%,US$2.94
35015,11.3%,18.2%,US$3.10
35017,15.3%,24.4%,US$3.29
35019,14%,22.1%,US$3.15
35021,16.9%,31%,US$3.35
35023,16.9%,27.2%,US$3.00
35025,11.6%,18.2%,US$3.18
35027,14.3%,23.3%,US$3.01
35028,8.1%,13.4%,US$3.36
35029,21.8%,33.9%,US$2.99
35031,22.1%,34.5%,US$2.82
35033,15.3%,23.7%,US$3.46
35035,15.9%,25.2%,US$3.18
35037,16.7%,30%,US$3.05
35039,11.5%,20%,US$3.08
35041,16.3%,25.7%,US$3.04
35043,12%,19.8%,US$3.19
35045,16.1%,26.2%,US$2.85
35047,18.1%,28.3%,US$3.16
35049,10.7%,17.7%,US$3.45
35051,19.5%,33.7%,US$2.95
35053,18.7%,29.5%,US$3.10
35055,15.2%,24.1%,US$3.82
35057,17.4%,28.6%,US$3.15
35059,13.1%,24.4%,US$2.97
35061,13.8%,23.1%,US$2.98
36001,10.2%,15.7%,US$3.62
36003,12.8%,23.8%,US$3.34
36005,17.5%,23.5%,US$3.36
36007,12.7%,21.3%,US$3.11
36009,12.8%,22.2%,US$2.87
36011,10.7%,19%,US$3.03
36013,13%,23%,US$2.94
36015,12.1%,20.7%,US$2.83
36017,12.4%,21.5%,US$2.75
36019,11.9%,20.2%,US$3.16
36021,10.2%,17.5%,US$3.36
36023,11.1%,19.4%,US$2.93
36025,12.3%,23.8%,US$3.83
36027,8.7%,14.1%,US$3.57
36029,11.4%,19.2%,US$3.18
36031,10.3%,18.6%,US$3.16
36033,12.9%,22.6%,US$2.78
36035,12.4%,21.8%,US$2.86
36037,10.2%,18.7%,US$2.92
36039,10.9%,17.6%,US$3.53
36041,11.8%,22.3%,US$3.25
36043,11.9%,21.3%,US$2.85
36045,12.7%,20.9%,US$2.84
36047,14.3%,19.6%,US$3.88
36049,11.4%,22.3%,US$3.03
36051,9.9%,17.9%,US$3.00
36053,9.5%,17.1%,US$2.87
36055,11.3%,18.9%,US$3.15
36057,13.6%,23.4%,US$2.98
36059,5.3%,9.5%,US$3.83
36061,12.2%,14.6%,US$6.19
36063,11.4%,19.9%,US$3.00
36065,12%,21.1%,US$3.01
36067,11%,18.6%,US$3.06
36069,8.9%,15.8%,US$3.09
36071,9%,15.6%,US$3.45
36073,11.8%,21.1%,US$2.69
36075,12.8%,23.8%,US$2.74
36077,10.9%,18.9%,US$3.16
36079,5.8%,10.1%,US$4.29
36081,9.9%,14.1%,US$3.64
36083,10.3%,17.9%,US$3.48
36085,9%,14.7%,US$3.74
36087,9%,16.6%,US$3.50
36089,13.1%,23.3%,US$2.84
36091,7.5%,12.9%,US$3.66
36093,10%,16.6%,US$3.37
36095,11.2%,20.3%,US$3.21
36097,11.9%,21.6%,US$3.00
36099,10.8%,18.6%,US$2.64
36101,11.7%,20.9%,US$2.93
36103,6.3%,11.2%,US$3.62
36105,11.4%,19.1%,US$2.95
36107,9.8%,17.8%,US$3.34
36109,10.4%,15%,US$3.50
36111,10.5%,16.9%,US$3.45
36113,10.4%,18.3%,US$3.30
36115,10.5%,18.6%,US$3.84
36117,10.1%,18.3%,US$2.95
36119,7.8%,11%,US$3.82
36121,10.1%,18.5%,US$3.36
36123,9.4%,17.2%,US$2.61
37001,14%,19.7%,US$2.99
37003,14%,21.5%,US$2.82
37005,18%,28.9%,US$2.77
37007,16.6%,24.6%,US$2.80
37009,14.4%,21.5%,US$2.86
37011,14.5%,20.1%,US$3.01
37013,16.2%,22.8%,US$2.99
37015,18.4%,28.2%,US$2.89
37017,19.1%,27.6%,US$3.03
37019,13.7%,21.6%,US$3.26
37021,12.4%,16.8%,US$3.07
37023,15.5%,22.7%,US$2.72
37025,11.1%,15.2%,US$3.00
37027,14.9%,21.1%,US$2.69
37029,11.7%,18.6%,US$3.12
37031,13.8%,19.9%,US$3.49
37033,15.9%,25.1%,US$2.81
37035,12.8%,17.9%,US$2.94
37037,11.9%,17.3%,US$3.44
37039,15.3%,23.1%,US$2.99
37041,15.9%,23.7%,US$2.97
37043,14.9%,23.9%,US$3.03
37045,16.2%,22.8%,US$2.66
37047,18.1%,27.3%,US$2.81
37049,15%,21.8%,US$3.22
37051,16.9%,22.8%,US$2.95
37053,11.4%,16.3%,US$3.59
37055,11.8%,17.3%,US$3.80
37057,14.1%,20.2%,US$2.71
37059,12.6%,19.2%,US$3.07
37061,17.1%,24.8%,US$2.86
37063,13.5%,17.3%,US$3.28
37065,19.6%,28.1%,US$2.85
37067,13.8%,18.8%,US$3.04
37069,13.7%,19.5%,US$3.00
37071,14.4%,20.1%,US$2.85
37073,14.2%,21.5%,US$2.99
37075,16.5%,25.8%,US$3.09
37077,13.4%,18.5%,US$2.96
37079,18.5%,26.5%,US$3.01
37081,13.9%,19%,US$3.12
37083,19.9%,28.1%,US$2.83
37085,14.5%,19.9%,US$3.14
37087,13.6%,21%,US$3.09
37089,11.8%,16.3%,US$2.95
37091,18.9%,28.2%,US$2.77
37093,16.7%,23%,US$2.93
37095,18.1%,26.6%,US$3.26
37097,12.1%,17.2%,US$3.11
37099,14.4%,20.7%,US$3.07
37101,12.6%,18%,US$3.20
37103,19.5%,30.8%,US$3.03
37105,14.2%,19.4%,US$2.81
37107,18.9%,27.7%,US$2.62
37109,12.9%,19.1%,US$2.84
37111,15.5%,21.8%,US$2.91
37113,14.5%,22.7%,US$2.99
37115,14.7%,21.7%,US$3.16
37117,16.7%,23.6%,US$2.75
37119,12%,15.2%,US$3.36
37121,14.5%,21.2%,US$3.14
37123,14.5%,20.9%,US$2.66
37125,12.8%,18.7%,US$3.43
37127,15.4%,21.4%,US$2.70
37129,14.1%,18.7%,US$3.30
37131,18.5%,28%,US$3.21
37133,15.2%,20.5%,US$2.95
37135,10.8%,12.2%,US$4.02
37137,15.1%,23.1%,US$3.25
37139,15.3%,21.3%,US$2.95
37141,13.6%,19.4%,US$3.45
37143,14.6%,21.8%,US$2.96
37145,15.5%,25.2%,US$2.90
37147,16.1%,21.2%,US$2.93
37149,12.6%,18.1%,US$3.37
37151,13.8%,20.1%,US$2.82
37153,18.4%,27.7%,US$2.62
37155,19.4%,28%,US$2.69
37157,15.2%,22.4%,US$2.87
37159,14.3%,21.3%,US$2.75
37161,16.4%,23.7%,US$2.66
37163,16.9%,24.1%,US$2.80
37165,20.9%,31.1%,US$2.84
37167,13.4%,19.8%,US$2.81
37169,13%,20.1%,US$3.05
37171,15%,21.3%,US$2.76
37173,15.5%,22.8%,US$3.13
37175,13.6%,23.3%,US$3.43
37177,20.3%,31.2%,US$3.36
37179,9.5%,13.4%,US$3.19
37181,19%,27%,US$2.76
37183,10.4%,13.1%,US$3.34
37185,17.6%,24.9%,US$3.13
37187,19.5%,32.9%,US$2.92
37189,13.8%,17.9%,US$3.71
37191,16.6%,24.4%,US$2.79
37193,15.8%,23.8%,US$2.71
37195,17.8%,26%,US$2.66
37197,13.4%,20.4%,US$3.14
37199,15.4%,21.8%,US$3.08
38001,4.9%,7.3%,US$3.34
38003,6.6%,10.8%,US$3.29
38005,15%,26.1%,US$3.18
38007,5.3%,9.6%,US$3.59
38009,7%,13.1%,US$3.23
38011,4.4%,6.2%,US$3.40
38013,3.6%,7.5%,US$3.45
38015,5.1%,8.4%,US$3.26
38017,6.1%,8.9%,US$3.29
38019,5%,10.7%,US$3.15
38021,4.1%,6.2%,US$3.13
38023,6.7%,10.9%,US$3.65
38025,5.3%,8.7%,US$3.57
38027,9.8%,18.4%,US$3.17
38029,7.7%,11.6%,US$3.24
38031,4.6%,9.1%,US$3.23
38033,5.8%,8.6%,US$3.59
38035,8.1%,10.9%,US$3.16
38037,6.8%,11%,US$3.29
38039,6.2%,11.1%,US$3.16
38041,5%,11%,US$3.39
38043,7%,12.8%,US$3.25
38045,6.2%,11.9%,US$3.23
38047,4.8%,8.2%,US$3.25
38049,5.9%,11%,US$3.24
38051,5.9%,10.9%,US$3.13
38053,6.3%,10.6%,US$3.57
38055,5.1%,9.9%,US$3.27
38057,4.7%,9.6%,US$3.28
38059,5.3%,9%,US$3.20
38061,5.3%,8.6%,US$3.46
38063,7.4%,13.6%,US$3.16
38065,6.1%,12.6%,US$3.26
38067,5.5%,9.7%,US$3.51
38069,8.3%,15.6%,US$3.22
38071,8%,11.8%,US$3.18
38073,5.4%,8.4%,US$3.29
38075,4.3%,7.8%,US$3.28
38077,5.4%,9.1%,US$3.19
38079,16.3%,28.7%,US$3.08
38081,4.1%,7.2%,US$3.27
38083,8.5%,16.3%,US$3.26
38085,16%,23.9%,US$3.24
38087,5.6%,8.9%,US$3.41
38089,5.6%,7.2%,US$3.39
38091,4.3%,9.7%,US$3.26
38093,7.5%,13.3%,US$3.20
38095,6.8%,12.8%,US$3.16
38097,4.8%,7.7%,US$3.22
38099,6.3%,9.5%,US$3.15
38101,5.8%,9.3%,US$3.27
38103,6.2%,9%,US$3.25
38105,4.9%,6.8%,US$3.52
39001,18.8%,27.3%,US$2.68
39003,14%,19.8%,US$2.71
39005,13%,19.1%,US$2.75
39007,16.1%,23.8%,US$2.84
39009,18.2%,24.9%,US$2.86
39011,10%,14%,US$2.77
39013,13.9%,20.5%,US$2.77
39015,14.7%,21.6%,US$2.90
39017,12.1%,16.5%,US$3.06
39019,13.2%,19.1%,US$3.32
39021,12.3%,18.2%,US$2.93
39023,14.8%,21.1%,US$2.82
39025,11.3%,15.6%,US$3.05
39027,14.2%,19.9%,US$2.64
39029,14.3%,21.5%,US$2.75
39031,15.2%,23.3%,US$2.54
39033,14.5%,22.1%,US$2.82
39035,15.9%,21.6%,US$3.24
39037,11.8%,16.9%,US$2.66
39039,11%,16.8%,US$2.60
39041,7.5%,9.4%,US$3.22
39043,13.5%,19.5%,US$2.80
39045,11.5%,15.6%,US$2.84
39047,15%,21.4%,US$2.57
39049,13.7%,17.8%,US$3.05
39051,11.1%,15.7%,US$2.94
39053,18.1%,26.7%,US$2.54
39055,9%,13.3%,US$3.27
39057,12%,16.7%,US$2.95
39059,16.3%,26%,US$2.68
39061,14.1%,18.7%,US$3.05
39063,11.2%,15.3%,US$2.84
39065,14.2%,19.8%,US$2.75
39067,15.2%,23.3%,US$2.84
39069,11.3%,17.4%,US$2.77
39071,16.8%,24.5%,US$2.78
39073,14%,20.6%,US$2.82
39075,10.2%,15%,US$2.87
39077,13.7%,20.3%,US$2.68
39079,17.2%,25.7%,US$2.77
39081,16.5%,24.9%,US$2.77
39083,13%,19.2%,US$2.70
39085,11.1%,15.8%,US$3.09
39087,17.3%,25.1%,US$2.70
39089,12.4%,17.8%,US$2.82
39091,12.5%,18.6%,US$2.62
39093,13.4%,19.4%,US$2.95
39095,15.9%,22%,US$2.85
39097,12%,17%,US$2.97
39099,15.4%,23%,US$3.03
39101,15.1%,21.9%,US$2.68
39103,9.6%,13.7%,US$3.03
39105,18.7%,28.1%,US$2.82
39107,9.5%,12.9%,US$2.45
39109,11.6%,15.7%,US$2.92
39111,17.4%,26.3%,US$2.84
39113,15.2%,21.4%,US$2.96
39115,17%,25.9%,US$2.74
39117,11.6%,17.4%,US$2.92
39119,15.2%,22.1%,US$2.69
39121,15.4%,26.5%,US$2.73
39123,12.8%,20.1%,US$3.18
39125,12.3%,17.1%,US$2.87
39127,16%,23.4%,US$2.79
39129,12.5%,18%,US$2.61
39131,18.3%,27%,US$2.71
39133,12.5%,17.7%,US$3.05
39135,12.6%,17.9%,US$2.77
39137,9%,12.7%,US$2.84
39139,14.3%,20.2%,US$2.77
39141,16.1%,22.6%,US$2.65
39143,13.1%,18.3%,US$2.58
39145,19.3%,27.8%,US$2.64
39147,13.2%,19.8%,US$2.63
39149,11.2%,15.3%,US$2.66
39151,13.5%,19.8%,US$2.94
39153,13.2%,18.2%,US$3.14
39155,15.5%,24%,US$2.77
39157,13.1%,18.9%,US$2.93
39159,9.5%,12.6%,US$2.94
39161,11.8%,16.1%,US$2.65
39163,17.7%,27.8%,US$2.72
39165,8.6%,11.4%,US$3.10
39167,15.3%,22.5%,US$2.80
39169,11.8%,17.3%,US$3.03
39171,12.5%,18.7%,US$2.81
39173,11.2%,14.1%,US$2.91
39175,11.1%,14.3%,US$2.90
40001,19.8%,29.5%,US$2.96
40003,11.5%,17.3%,US$3.03
40005,17.3%,26.7%,US$3.00
40007,10.1%,14.9%,US$2.96
40009,13.3%,17.5%,US$3.18
40011,13%,20.3%,US$3.13
40013,16%,23%,US$3.19
40015,16.4%,24%,US$2.98
40017,10.6%,15.8%,US$3.18
40019,15.4%,22.3%,US$2.94
40021,16.4%,23.7%,US$3.27
40023,20.7%,30.5%,US$2.95
40025,12.8%,17.9%,US$3.06
40027,12%,16.7%,US$3.09
40029,18.1%,27.3%,US$3.01
40031,15.8%,22%,US$2.90
40033,15.2%,20.9%,US$3.01
40035,16.7%,25.4%,US$3.02
40037,13.8%,21.8%,US$3.13
40039,13.1%,16.8%,US$3.32
40041,17%,27.6%,US$3.08
40043,13.2%,21.8%,US$3.28
40045,13.8%,20.6%,US$3.36
40047,13.5%,19.1%,US$2.95
40049,14.2%,20.4%,US$3.08
40051,12.6%,19.1%,US$3.16
40053,12.2%,18.1%,US$2.91
40055,18%,24.9%,US$3.20
40057,13.9%,18.2%,US$3.18
40059,10.1%,15.2%,US$3.29
40061,18.1%,28.2%,US$3.00
40063,17.6%,27.3%,US$2.92
40065,14.9%,20.4%,US$3.14
40067,17.9%,27.6%,US$3.01
40069,16.9%,25.9%,US$2.97
40071,16.5%,24.9%,US$2.76
40073,11.2%,17.3%,US$3.08
40075,17.8%,26.5%,US$3.01
40077,18.1%,28.8%,US$3.10
40079,18%,27.1%,US$3.08
40081,14.3%,21.8%,US$3.15
40083,12.2%,17.9%,US$3.13
40085,13%,18.9%,US$3.04
40087,10.6%,16.1%,US$3.18
40089,18.8%,27.8%,US$3.11
40091,18.9%,30.6%,US$3.08
40093,11.9%,18.2%,US$3.10
40095,16.8%,24.5%,US$2.98
40097,16.2%,24.1%,US$3.11
40099,15.6%,22.1%,US$2.94
40101,16.9%,25.2%,US$2.90
40103,13.3%,18.9%,US$3.02
40105,15.4%,22.6%,US$3.12
40107,18.4%,26.1%,US$3.02
40109,14.2%,20.2%,US$3.03
40111,17.3%,26.4%,US$2.94
40113,15.4%,24.7%,US$3.21
40115,17%,26.4%,US$2.98
40117,14.6%,22.2%,US$3.17
40119,15.2%,19.4%,US$3.05
40121,16.8%,24.8%,US$3.22
40123,14.2%,20.4%,US$2.75
40125,15.3%,22.6%,US$2.97
40127,18.4%,28%,US$3.02
40129,14.6%,22.1%,US$3.28
40131,11.6%,18.3%,US$3.33
40133,18%,26.6%,US$2.93
40135,18.6%,29.2%,US$3.09
40137,15%,22.8%,US$3.16
40139,10.9%,15.4%,US$3.00
40141,15.3%,22.8%,US$3.01
40143,13.9%,19.8%,US$3.13
40145,12.4%,19.3%,US$3.24
40147,14%,21.6%,US$2.92
40149,12.7%,18.5%,US$3.24
40151,11.9%,17.3%,US$3.04
40153,12%,18.3%,US$3.27
41001,14.7%,23%,US$3.15
41003,10.8%,12.9%,US$3.42
41005,9.1%,12.6%,US$3.48
41007,12.3%,15.5%,US$3.25
41009,12.2%,18%,US$3.60
41011,15.6%,24%,US$3.30
41013,14.3%,22.6%,US$4.36
41015,14.6%,20.1%,US$3.56
41017,10.5%,15%,US$3.56
41019,14.7%,22.6%,US$3.16
41021,12.8%,15.6%,US$3.52
41023,15.7%,23.9%,US$3.16
41025,15.1%,24%,US$3.28
41027,8.1%,10.1%,US$3.87
41029,13.1%,19%,US$3.31
41031,14.2%,20.5%,US$3.63
41033,15.1%,23.1%,US$3.25
41035,16%,23.8%,US$3.34
41037,14.9%,20.9%,US$3.29
41039,13.8%,18.9%,US$3.30
41041,14.7%,22.4%,US$3.66
41043,13.1%,18.6%,US$3.13
41045,14.3%,20.6%,US$2.66
41047,11.8%,16.2%,US$3.11
41049,11.1%,16.3%,US$3.11
41051,12%,15.3%,US$3.58
41053,11.5%,15.6%,US$3.28
41055,13.5%,19.1%,US$3.76
41057,13.6%,20%,US$3.56
41059,13.2%,19.3%,US$3.19
41061,13.5%,19.8%,US$3.27
41063,14.9%,24.3%,US$3.18
41065,12.5%,17%,US$3.58
41067,9%,11.5%,US$3.40
41069,15.4%,23.8%,US$3.33
41071,11.1%,16.6%,US$3.39
