fips,fi_rate_18,ch_fi_rate_18,cpm_18
13139,10%,13%,US$3.07
13141,17.4%,25.7%,US$3.04
13143,13.6%,18.7%,US$3.01
13145,9.5%,13.4%,US$3.32
13147,13.9%,18.8%,US$2.84
13149,13.8%,18.5%,US$3.09
13151,10.2%,13.5%,US$3.01
13153,12.8%,16.9%,US$3.02
13155,18.4%,26.8%,US$2.99
13157,9.8%,12.7%,US$3.54
13159,13.8%,17.8%,US$2.97
13161,14.6%,20.9%,US$2.87
13163,16.9%,25.8%,US$2.99
13165,17.2%,25.3%,US$3.03
13167,15.9%,22.5%,US$2.93
13169,11.9%,17.6%,US$2.90
13171,14.6%,19.6%,US$2.88
13173,16.3%,19.8%,US$3.09
13175,17%,23.1%,US$3.06
13177,10.6%,15.6%,US$3.40
13179,14.4%,17.3%,US$3.00
13181,15.2%,23.8%,US$3.06
13183,14.6%,19%,US$2.96
13185,15.7%,19.8%,US$3.12
13187,12%,15.6%,US$3.17
13189,17%,25.6%,US$2.81
13191,15.2%,24.5%,US$3.19
13193,18.5%,26.2%,US$3.07
13195,13.3%,18.8%,US$3.20
13197,14.8%,21.8%,US$3.13
13199,17.1%,23%,US$3.16
13201,15.1%,21.1%,US$2.99
13205,17.3%,23.7%,US$2.86
13207,11.9%,13.3%,US$2.97
13209,15.8%,22%,US$2.88
13211,10.7%,14.2%,US$3.09
13213,12.8%,18.5%,US$2.92
13215,16.9%,21.8%,US$3.25
13217,14.2%,19%,US$2.93
13219,7.1%,9.8%,US$3.49
13221,12.4%,19%,US$3.28
13223,9%,12.4%,US$3.04
13225,16.1%,21.3%,US$3.60
13227,10.5%,14.3%,US$3.25
13229,14.6%,21.1%,US$2.83
13231,10.5%,14.3%,US$2.86
13233,13.6%,19.2%,US$2.83
13235,17.9%,27.9%,US$3.00
13237,12.6%,20.1%,US$2.88
13239,18%,30%,US$3.09
13241,14.5%,21.6%,US$2.89
13243,21.4%,33.1%,US$3.24
13245,17.3%,23.8%,US$3.00
13247,11.9%,16.5%,US$3.04
13249,15.6%,21.6%,US$3.07
13251,16.2%,25.1%,US$3.08
13253,17.2%,26.2%,US$3.15
13255,15.9%,22.3%,US$2.85
13257,14.4%,19.4%,US$2.82
13259,20.2%,29.7%,US$3.18
13261,18.2%,25.9%,US$3.07
13263,15.5%,22%,US$3.18
