,Year,State,fi
276,1/1/2015,Nebraska,12.03655914
277,1/1/2016,Nebraska,11.79892473
278,1/1/2017,Nebraska,11.40537634
279,1/1/2018,Nebraska,11.27849462
280,1/1/2019,Nebraska,12.0172043
281,1/1/2010,Nevada,14.85294118
282,1/1/2011,Nevada,15.79411765
283,1/1/2012,Nevada,17.35600858
284,1/1/2013,Nevada,16.82137031
285,1/1/2014,Nevada,15.81249086
286,1/1/2015,Nevada,13.45294118
287,1/1/2016,Nevada,12.85294118
288,1/1/2017,Nevada,12.13529412
289,1/1/2018,Nevada,11.34117647
290,1/1/2019,Nevada,12.37058824
291,1/1/2010,New Hampshire,10.45
292,1/1/2011,New Hampshire,9.96
293,1/1/2012,New Hampshire,10.61376398
294,1/1/2013,New Hampshire,10.925118
295,1/1/2014,New Hampshire,10.82013119
296,1/1/2015,New Hampshire,10.36
297,1/1/2016,New Hampshire,9.99
298,1/1/2017,New Hampshire,9.39
299,1/1/2018,New Hampshire,9.11
300,1/1/2019,New Hampshire,9.38
301,1/1/2010,New Jersey,12.76666667
302,1/1/2011,New Jersey,12.42380952
303,1/1/2012,New Jersey,13.95157437
304,1/1/2013,New Jersey,12.994284
305,1/1/2014,New Jersey,12.38013295
306,1/1/2015,New Jersey,11.2
307,1/1/2016,New Jersey,10.44761905
308,1/1/2017,New Jersey,10.01428571
309,1/1/2018,New Jersey,9.638095238
310,1/1/2019,New Jersey,8.757142857
311,1/1/2010,New Mexico,17.59393939
312,1/1/2011,New Mexico,17.56363636
313,1/1/2012,New Mexico,20.06412374
314,1/1/2013,New Mexico,18.56115784
315,1/1/2014,New Mexico,17.30792932
316,1/1/2015,New Mexico,16.05757576
317,1/1/2016,New Mexico,15.74242424
318,1/1/2017,New Mexico,15.9
319,1/1/2018,New Mexico,15.96363636
320,1/1/2019,New Mexico,15.48787879
321,1/1/2010,New York,12.8483871
322,1/1/2011,New York,12.32741935
323,1/1/2012,New York,14.65790457
324,1/1/2013,New York,14.09659278
325,1/1/2014,New York,13.94281356
326,1/1/2015,New York,11.91451613
327,1/1/2016,New York,11.71129032
328,1/1/2017,New York,11.02903226
329,1/1/2018,New York,10.90483871
330,1/1/2019,New York,10.88870968
331,1/1/2010,North Carolina,19.279
332,1/1/2011,North Carolina,18.585
333,1/1/2012,North Carolina,19.29631961
334,1/1/2013,North Carolina,18.59984026
335,1/1/2014,North Carolina,18.29741086
336,1/1/2015,North Carolina,17.096
337,1/1/2016,North Carolina,16.743
338,1/1/2017,North Carolina,15.947
339,1/1/2018,North Carolina,15.419
340,1/1/2019,North Carolina,15.147
341,1/1/2010,North Dakota,8.235849057
342,1/1/2011,North Dakota,7.683018868
343,1/1/2012,North Dakota,7.369153659
344,1/1/2013,North Dakota,7.73839812
345,1/1/2014,North Dakota,7.800739017
346,1/1/2015,North Dakota,7.279245283
347,1/1/2016,North Dakota,7.001886792
348,1/1/2017,North Dakota,6.986792453
349,1/1/2018,North Dakota,6.473584906
350,1/1/2019,North Dakota,6.466037736
351,1/1/2010,Ohio,17.58636364
352,1/1/2011,Ohio,16.41477273
353,1/1/2012,Ohio,17.79383906
354,1/1/2013,Ohio,17.17023014
355,1/1/2014,Ohio,16.86900344
356,1/1/2015,Ohio,14.575
357,1/1/2016,Ohio,14.09886364
358,1/1/2017,Ohio,13.69204545
359,1/1/2018,Ohio,13.45681818
360,1/1/2019,Ohio,13.62159091
361,1/1/2010,Oklahoma,17.34935065
362,1/1/2011,Oklahoma,16.53636364
363,1/1/2012,Oklahoma,17.244326
364,1/1/2013,Oklahoma,17.2039572
365,1/1/2014,Oklahoma,17.00112815
366,1/1/2015,Oklahoma,15.71948052
367,1/1/2016,Oklahoma,15.35454545
368,1/1/2017,Oklahoma,15.37012987
369,1/1/2018,Oklahoma,15.03116883
370,1/1/2019,Oklahoma,15.0012987
371,1/1/2010,Oregon,17.43611111
372,1/1/2011,Oregon,16.39166667
373,1/1/2012,Oregon,17.9254978
374,1/1/2013,Oregon,16.74636792
375,1/1/2014,Oregon,15.75139342
376,1/1/2015,Oregon,15.28888889
377,1/1/2016,Oregon,14.44722222
378,1/1/2017,Oregon,13.57777778
379,1/1/2018,Oregon,12.95555556
380,1/1/2019,Oregon,13.13333333
381,1/1/2010,Pennsylvania,13.84925373
382,1/1/2011,Pennsylvania,13.22537313
383,1/1/2012,Pennsylvania,14.86751117
384,1/1/2013,Pennsylvania,14.32776936
385,1/1/2014,Pennsylvania,14.15913713
386,1/1/2015,Pennsylvania,12.36865672
387,1/1/2016,Pennsylvania,12.05373134
388,1/1/2017,Pennsylvania,11.98358209
389,1/1/2018,Pennsylvania,11.48358209
390,1/1/2019,Pennsylvania,10.85223881
391,1/1/2010,Rhode Island,13.88
392,1/1/2011,Rhode Island,13.92
393,1/1/2012,Rhode Island,15.31909955
394,1/1/2013,Rhode Island,14.65687637
395,1/1/2014,Rhode Island,14.44017229
396,1/1/2015,Rhode Island,12.46
397,1/1/2016,Rhode Island,11.64
398,1/1/2017,Rhode Island,11.16
399,1/1/2018,Rhode Island,10.42
400,1/1/2019,Rhode Island,9.22
401,1/1/2010,South Carolina,21.36086957
402,1/1/2011,South Carolina,20.40434783
403,1/1/2012,South Carolina,18.59729058
404,1/1/2013,South Carolina,17.96443187
405,1/1/2014,South Carolina,17.05942336
406,1/1/2015,South Carolina,17.77391304
407,1/1/2016,South Carolina,17.16521739
408,1/1/2017,South Carolina,16.08695652
409,1/1/2018,South Carolina,15.37826087
410,1/1/2019,South Carolina,12.83695652
411,1/1/2010,South Dakota,12.23846154
412,1/1/2011,South Dakota,12.09692308
413,1/1/2012,South Dakota,12.52059868
414,1/1/2013,South Dakota,12.3428939
415,1/1/2014,South Dakota,12.44204778
416,1/1/2015,South Dakota,12.56307692
417,1/1/2016,South Dakota,12.34769231
418,1/1/2017,South Dakota,11.75538462
419,1/1/2018,South Dakota,12.00461538
420,1/1/2019,South Dakota,11.34307692
421,1/1/2010,Tennessee,18.92526316
422,1/1/2011,Tennessee,16.75473684
423,1/1/2012,Tennessee,17.60312136
424,1/1/2013,Tennessee,17.06565258
425,1/1/2014,Tennessee,17.05393707
426,1/1/2015,Tennessee,15.54947368
427,1/1/2016,Tennessee,14.89894737
428,1/1/2017,Tennessee,14.09368421
429,1/1/2018,Tennessee,13.32736842
430,1/1/2019,Tennessee,14.42421053
431,1/1/2010,Texas,17.92165354
432,1/1/2011,Texas,17.42125984
433,1/1/2012,Texas,18.74515987
434,1/1/2013,Texas,18.31924791
435,1/1/2014,Texas,17.59398081
436,1/1/2015,Texas,15.66299213
437,1/1/2016,Texas,15.03385827
438,1/1/2017,Texas,14.86141732
439,1/1/2018,Texas,14.47007874
440,1/1/2019,Texas,15.30433071
441,1/1/2010,Utah,15.94482759
442,1/1/2011,Utah,16.27586207
443,1/1/2012,Utah,16.74876882
444,1/1/2013,Utah,15.5441467
445,1/1/2014,Utah,14.5963007
446,1/1/2015,Utah,14.47931034
447,1/1/2016,Utah,14.28965517
448,1/1/2017,Utah,13.95862069
449,1/1/2018,Utah,13.4137931
450,1/1/2019,Utah,12.55517241
451,1/1/2010,Vermont,13.77857143
452,1/1/2011,Vermont,12.86428571
453,1/1/2012,Vermont,13.05012044
454,1/1/2013,Vermont,13.35919017
455,1/1/2014,Vermont,13.5662193
456,1/1/2015,Vermont,12.81428571
457,1/1/2016,Vermont,12.25
458,1/1/2017,Vermont,11.68571429
459,1/1/2018,Vermont,11.5
460,1/1/2019,Vermont,10.85714286
461,1/1/2010,Virginia,14.0518797
462,1/1/2011,Virginia,13.42556391
463,1/1/2012,Virginia,12.68099564
464,1/1/2013,Virginia,12.13713831
465,1/1/2014,Virginia,11.89590583
466,1/1/2015,Virginia,12.93458647
467,1/1/2016,Virginia,12.48796992
468,1/1/2017,Virginia,12.03458647
469,1/1/2018,Virginia,11.74285714
470,1/1/2019,Virginia,11.1112782
471,1/1/2010,Washington,16.06666667
472,1/1/2011,Washington,15.67948718
473,1/1/2012,Washington,16.12714307
474,1/1/2013,Washington,14.95517189
475,1/1/2014,Washington,14.60107186
476,1/1/2015,Washington,14.15897436
477,1/1/2016,Washington,13.31538462
478,1/1/2017,Washington,13.06153846
479,1/1/2018,Washington,12.42307692
480,1/1/2019,Washington,12.85384615
481,1/1/2010,West Virginia,15.02545455
482,1/1/2011,West Virginia,15.51272727
483,1/1/2012,West Virginia,15.26924097
484,1/1/2013,West Virginia,14.99827801
485,1/1/2014,West Virginia,15.77411255
486,1/1/2015,West Virginia,15.22727273
487,1/1/2016,West Virginia,14.89818182
488,1/1/2017,West Virginia,14
489,1/1/2018,West Virginia,13.80363636
490,1/1/2019,West Virginia,14.08545455
491,1/1/2010,Wisconsin,13.35
492,1/1/2011,Wisconsin,12.48472222
493,1/1/2012,Wisconsin,13.03291959
494,1/1/2013,Wisconsin,12.64966214
495,1/1/2014,Wisconsin,12.43314789
496,1/1/2015,Wisconsin,11.41388889
497,1/1/2016,Wisconsin,10.86527778
498,1/1/2017,Wisconsin,10.23333333
499,1/1/2018,Wisconsin,9.6125
500,1/1/2019,Wisconsin,8.95
501,1/1/2010,Wyoming,11.9173913
