fips,state_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
34,New Jersey,12.766666666666667,12.423809523809522,13.9515743686626,12.9942839995984,12.380132951447301,11.200000000000003,10.447619047619048,10.014285714285714,9.638095238095236,8.757142857142856
35,New Mexico,17.593939393939394,17.563636363636363,20.0641237446115,18.561157840327102,17.3079293162044,16.05757575757576,15.742424242424239,15.900000000000006,15.963636363636363,15.48787878787879
36,New York,12.848387096774196,12.327419354838712,14.657904566802001,14.0965927843272,13.942813559751599,11.914516129032256,11.711290322580641,11.029032258064513,10.904838709677419,10.888709677419351
37,North Carolina,19.279,18.584999999999997,19.2963196122448,18.599840259604303,18.2974108606162,17.095999999999993,16.74299999999999,15.946999999999996,15.419000000000004,15.147
38,North Dakota,8.235849056603774,7.683018867924526,7.36915365855085,7.73839812014385,7.80073901738059,7.279245283018867,7.001886792452829,6.986792452830187,6.4735849056603785,6.466037735849058
39,Ohio,17.586363636363632,16.41477272727274,17.793839055705,17.1702301367134,16.869003443839,14.575000000000005,14.098863636363633,13.692045454545452,13.456818181818186,13.621590909090907
40,Oklahoma,17.349350649350647,16.53636363636363,17.2443260043233,17.2039571985048,17.001128145250302,15.719480519480515,15.354545454545454,15.37012987012987,15.031168831168838,15.001298701298706
41,Oregon,17.436111111111114,16.391666666666666,17.9254978035099,16.7463679230888,15.751393424790699,15.288888888888883,14.447222222222226,13.577777777777776,12.955555555555557,13.133333333333333
42,Pennsylvania,13.849253731343286,13.225373134328361,14.867511174470199,14.3277693579585,14.1591371276255,12.368656716417917,12.05373134328358,11.98358208955224,11.483582089552238,10.85223880597015
44,Rhode Island,13.879999999999999,13.920000000000002,15.3190995546475,14.656876373427599,14.440172285406401,12.46,11.64,11.16,10.419999999999998,9.219999999999999
45,South Carolina,21.36086956521739,20.40434782608696,18.5972905798604,17.9644318686765,17.0594233648506,17.773913043478263,17.16521739130435,16.08695652173913,15.378260869565223,12.836956521739127
46,South Dakota,12.238461538461543,12.096923076923074,12.5205986782869,12.3428938962314,12.442047777368801,12.563076923076927,12.347692307692311,11.755384615384617,12.004615384615386,11.343076923076918
47,Tennessee,18.925263157894733,16.754736842105267,17.6031213646975,17.0656525784423,17.0539370669051,15.549473684210524,14.898947368421048,14.093684210526323,13.327368421052633,14.424210526315786
48,Texas,17.921653543307084,17.42125984251969,18.745159871704,18.3192479063922,17.593980806174603,15.662992125984257,15.033858267716532,14.861417322834642,14.470078740157485,15.304330708661418
49,Utah,15.944827586206898,16.275862068965516,16.748768822620303,15.544146700489302,14.596300698548601,14.479310344827585,14.28965517241379,13.95862068965517,13.413793103448274,12.555172413793104
50,Vermont,13.778571428571428,12.864285714285716,13.0501204442309,13.3591901739746,13.5662193000654,12.814285714285717,12.25,11.685714285714287,11.500000000000002,10.857142857142856
51,Virginia,14.051879699248122,13.425563909774434,12.6809956371832,12.137138314121199,11.8959058302831,12.934586466165408,12.487969924812033,12.034586466165411,11.742857142857144,11.11127819548872
