,Year,State,Prophet ForecastValue Future,Prophet ForecastValue Validation,fi
72,2022-12-31,Arkansas,16.850860540343408,13.623942485835734,
73,2023-12-31,Arkansas,16.458211587512253,11.870638337335386,
74,2024-12-31,Arkansas,16.05494950167411,0.0,
75,2025-12-31,Arkansas,15.75026591922714,0.0,
76,2010-01-01,California,18.265214494991053,18.233704454406112,
77,2011-01-01,California,17.62253759946923,17.60775186833545,
78,2012-01-01,California,17.184952143511268,17.25736703428816,
79,2013-01-01,California,16.04620624157295,16.172575194796256,
80,2014-01-01,California,15.197421470284462,15.183444966338808,
81,2015-01-01,California,14.554106841266467,14.47070347330849,
82,2016-01-01,California,14.115889646002376,14.033998575071625,
83,2017-01-01,California,13.082501461667787,12.948606154984358,
84,2017-12-31,California,0.0,13.98484742378593,
85,2018-01-01,California,12.338786954828361,0.0,
86,2018-12-31,California,0.0,14.369259757792808,
87,2019-01-01,California,11.800542502801282,0.0,
88,2019-12-31,California,14.814083463175955,15.023431363248864,
89,2020-12-31,California,11.338608386718992,10.64852027447919,
90,2021-12-31,California,11.413080039835904,10.760878393345468,
91,2022-12-31,California,11.689347657978946,11.145290727348264,
92,2023-12-31,California,12.165589349190917,11.799462332811807,
93,2024-12-31,California,8.690114272719175,0.0,
94,2025-12-31,California,8.764585925834048,0.0,
95,2010-01-01,Colorado,15.157833487036864,15.183480100193133,
96,2011-01-01,Colorado,14.80043191676859,14.791192843647025,
97,2012-01-01,Colorado,14.580907252172754,14.509784322117806,
98,2013-01-01,Colorado,13.593965127331021,13.653980585566845,
99,2014-01-01,Colorado,13.09816684149408,13.150674634155372,
100,2015-01-01,Colorado,12.740439436891709,12.758385399957481,
101,2016-01-01,Colorado,12.520588901997957,12.476974904728106,
102,2017-01-01,Colorado,11.533319899963617,11.621171104592472,
103,2017-12-31,Colorado,0.0,12.245242244823622,
104,2018-01-01,Colorado,11.037515043937887,0.0,
105,2018-12-31,Colorado,0.0,12.293650116265725,
106,2019-01-01,Colorado,10.679787595327628,0.0,
107,2019-12-31,Colorado,13.007336671511563,12.450398890022855,
108,2020-12-31,Colorado,10.37751630219324,10.273296334750713,
109,2021-12-31,Colorado,10.43183275111155,10.212432712420474,
110,2022-12-31,Colorado,10.621949040172073,10.260840583860608,
111,2023-12-31,Colorado,10.94668479876883,10.41758935762069,
112,2024-12-31,Colorado,8.31686442944159,0.0,
113,2025-12-31,Colorado,8.37118087835887,0.0,
114,2010-01-01,Connecticut,13.313618490977959,13.19022190564929,
115,2011-01-01,Connecticut,13.103207987840673,13.029161089021198,
